geo_level,geo_code,geo_description,drg_code,drg_description,total_discharges,average_submitted_covered_charge,average_total_payment_amount,average_medicare_payment_amount
National,,National,272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,3936,117173.1,23435.49,18846.3
National,,National,273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,7926,198148.5,36395.19,31965.82
National,,National,274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,53885,146463.88,27510.4,24834.06
National,,National,275,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION AND MCC,851,349596.89,66910.88,57722.69
National,,National,276,CARDIAC DEFIBRILLATOR IMPLANT WITH MCC OR CAROTID SINUS NEUROSTIMULATOR,870,283981.43,56965.33,50347.54
National,,National,277,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC,973,227854.24,43599.78,37509.75
National,,National,278,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITH MCC,223,225860.26,43076.12,37770.52
National,,National,279,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITHOUT,347,170537.93,29845.89,25094.17
National,,National,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",87026,72940.98,14424.0,12089.51
National,,National,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",36679,47595.29,8542.56,6470.29
National,,National,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",14525,41121.94,6952.58,4747.5
National,,National,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",8609,94042.68,18311.95,16005.23
National,,National,284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",645,37635.05,7102.86,5405.5
National,,National,285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",131,30694.88,5408.58,3790.18
National,,National,286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",38894,105510.3,20805.72,16733.17
National,,National,287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",33305,60958.41,10194.4,7489.76
National,,National,288,ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,1086,112051.65,24373.16,20926.82
National,,National,289,ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,507,66446.3,14322.9,11599.06
National,,National,290,ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC,28,53159.82,10955.0,7895.82
National,,National,291,HEART FAILURE AND SHOCK WITH MCC,321106,53537.7,11582.28,9646.69
National,,National,292,HEART FAILURE AND SHOCK WITH CC,13999,36700.37,8535.8,6645.0
National,,National,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,2090,25764.46,5882.43,4229.64
National,,National,294,DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,199,53900.7,11533.9,8472.83
National,,National,295,DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC,11,28940.36,7799.91,5961.36
National,,National,296,"CARDIAC ARREST, UNEXPLAINED WITH MCC",2505,80842.26,15800.17,13298.42
National,,National,297,"CARDIAC ARREST, UNEXPLAINED WITH CC",201,34604.92,7269.09,5754.99
National,,National,298,"CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC",70,22054.3,4969.27,3604.87
National,,National,299,PERIPHERAL VASCULAR DISORDERS WITH MCC,15215,69995.17,14544.32,12145.44
National,,National,300,PERIPHERAL VASCULAR DISORDERS WITH CC,19471,46859.83,10007.49,7916.54
National,,National,301,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,4227,33095.69,7034.94,5021.49
National,,National,302,ATHEROSCLEROSIS WITH MCC,2216,53947.6,12028.37,10101.2
National,,National,303,ATHEROSCLEROSIS WITHOUT MCC,7689,33721.07,6644.11,4852.14
National,,National,304,HYPERTENSION WITH MCC,11698,53126.04,10764.24,8786.11
National,,National,305,HYPERTENSION WITHOUT MCC,23585,37714.7,6979.54,5087.18
National,,National,306,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,3314,71382.55,15289.21,13066.94
National,,National,307,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,2590,45856.03,9222.78,7331.54
National,,National,308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,49772,53325.97,10923.63,8881.73
National,,National,309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,65220,34118.28,7003.18,5122.92
National,,National,310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,33880,26686.31,5343.03,3356.28
National,,National,311,ANGINA PECTORIS,2963,38193.81,6650.21,4877.67
National,,National,312,SYNCOPE AND COLLAPSE,54875,43155.31,8213.87,6402.86
National,,National,313,CHEST PAIN,21836,37332.03,6887.89,5150.75
National,,National,314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,32069,91291.92,20203.37,16930.04
National,,National,315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,15654,45060.67,9577.67,7312.58
National,,National,316,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,1965,34613.82,6942.62,4847.77
National,,National,319,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,1125,217196.21,42714.52,38141.28
National,,National,320,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,402,128682.65,22610.97,20136.38
National,,National,321,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/,9016,161135.45,26460.37,22320.25
National,,National,322,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC,12849,110014.24,16841.31,12989.14
National,,National,323,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITH MCC,1091,223980.87,37699.93,33653.0
National,,National,324,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITHOUT MCC,1149,174164.37,26460.97,22354.34
National,,National,325,CORONARY INTRAVASCULAR LITHOTRIPSY WITHOUT INTRALUMINAL DEVICE,148,151910.69,24073.41,20120.72
National,,National,326,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",8235,227955.2,50418.86,42507.87
National,,National,327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",8162,120292.68,25074.5,20013.82
National,,National,328,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC",5865,81651.53,15816.51,12057.21
National,,National,329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,30763,201024.34,42063.93,36322.95
National,,National,330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,39863,110969.88,22310.47,17884.65
National,,National,331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,18996,80267.04,15768.77,11874.32
National,,National,332,RECTAL RESECTION WITH MCC,135,159728.46,39320.62,31812.9
National,,National,333,RECTAL RESECTION WITH CC,523,102253.36,20824.14,16517.19
National,,National,334,RECTAL RESECTION WITHOUT CC/MCC,474,81978.03,15715.68,12085.22
National,,National,335,PERITONEAL ADHESIOLYSIS WITH MCC,4438,160057.71,33050.02,28507.32
National,,National,336,PERITONEAL ADHESIOLYSIS WITH CC,7508,99023.54,19287.09,15306.39
National,,National,337,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,3074,74991.56,14442.17,10789.8
National,,National,338,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,453,117585.54,23882.2,20074.76
National,,National,339,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,1559,77888.26,14585.2,10862.85
National,,National,340,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1080,57637.95,11044.47,7824.4
National,,National,341,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,363,115369.61,20390.08,17279.24
National,,National,342,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,1367,71643.2,12970.11,9956.73
National,,National,343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1149,57398.16,9923.99,7151.01
National,,National,344,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,917,121868.66,25168.99,21697.08
National,,National,345,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,1630,71380.98,14256.81,11199.72
National,,National,346,MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,701,60718.34,11363.93,8497.42
National,,National,347,ANAL AND STOMAL PROCEDURES WITH MCC,812,109206.28,23766.75,20602.91
National,,National,348,ANAL AND STOMAL PROCEDURES WITH CC,1616,65861.27,13295.08,10220.61
National,,National,349,ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,715,53030.05,9823.18,7204.65
National,,National,350,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,1257,118103.37,22009.89,18920.42
National,,National,351,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,3031,79519.79,13236.29,10979.55
National,,National,352,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,1738,61077.63,10343.48,7742.15
National,,National,353,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,2014,139394.62,27963.94,23165.53
National,,National,354,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,5537,83938.09,16447.11,12777.69
National,,National,355,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,4197,67627.3,12603.96,9522.72
National,,National,356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,6532,192808.56,39166.65,34109.05
National,,National,357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,4480,109297.74,20297.43,16493.87
National,,National,358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,856,70468.95,12528.66,9712.57
National,,National,368,MAJOR ESOPHAGEAL DISORDERS WITH MCC,4700,77503.19,16148.0,13678.13
National,,National,369,MAJOR ESOPHAGEAL DISORDERS WITH CC,3562,47932.66,9536.68,7515.53
National,,National,370,MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC,337,36499.97,7157.94,5237.66
National,,National,371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,11958,72599.82,15694.75,13171.21
National,,National,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,16056,44743.89,9575.6,7509.67
National,,National,373,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC,2805,32468.19,7088.14,4965.27
National,,National,374,DIGESTIVE MALIGNANCY WITH MCC,11492,93553.35,20047.89,16484.64
National,,National,375,DIGESTIVE MALIGNANCY WITH CC,10055,57950.26,11630.67,9126.42
National,,National,376,DIGESTIVE MALIGNANCY WITHOUT CC/MCC,640,47937.49,8858.19,6339.91
National,,National,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,57076,80281.16,16068.14,13827.65
National,,National,378,GASTROINTESTINAL HEMORRHAGE WITH CC,82625,45948.44,8983.39,7060.78
National,,National,379,GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,6893,31481.6,6192.12,4288.33
National,,National,380,COMPLICATED PEPTIC ULCER WITH MCC,5034,85542.39,17530.18,14828.96
National,,National,381,COMPLICATED PEPTIC ULCER WITH CC,5266,51996.42,9884.02,7801.17
National,,National,382,COMPLICATED PEPTIC ULCER WITHOUT CC/MCC,761,38475.95,7419.9,5405.99
National,,National,383,UNCOMPLICATED PEPTIC ULCER WITH MCC,699,60714.02,12673.08,10580.68
National,,National,384,UNCOMPLICATED PEPTIC ULCER WITHOUT MCC,2103,45762.35,8248.62,6293.63
National,,National,385,INFLAMMATORY BOWEL DISEASE WITH MCC,2816,73602.32,16182.41,12805.97
National,,National,386,INFLAMMATORY BOWEL DISEASE WITH CC,6066,46800.8,9708.12,7029.61
National,,National,387,INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC,1784,32762.87,7104.5,4627.45
National,,National,388,GASTROINTESTINAL OBSTRUCTION WITH MCC,16186,63594.55,13536.46,11201.47
National,,National,389,GASTROINTESTINAL OBSTRUCTION WITH CC,37642,37241.49,7611.93,5608.57
National,,National,390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,18112,26661.82,5682.85,3540.17
National,,National,391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",36652,58391.19,12440.03,10015.98
National,,National,392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",91061,38301.24,7520.6,5513.66
National,,National,393,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,24394,75354.28,15861.76,13185.26
National,,National,394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,30250,44579.86,9094.15,6970.07
National,,National,395,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,5415,32533.07,6505.48,4540.18
National,,National,397,APPENDIX PROCEDURES WITH MCC,309,111894.06,22094.91,17229.32
National,,National,398,APPENDIX PROCEDURES WITH CC,954,75466.45,14267.7,10922.07
National,,National,399,APPENDIX PROCEDURES WITHOUT CC/MCC,705,57430.3,10541.69,7359.19
National,,National,405,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC",3415,268236.49,58641.29,49257.21
National,,National,406,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC",4480,147156.59,30240.57,24384.47
National,,National,407,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC",1334,117398.99,23048.01,17537.48
National,,National,408,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC,734,170942.02,36805.11,31007.32
National,,National,409,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC,715,106865.99,20178.99,15697.33
National,,National,410,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/M,203,76480.85,15911.52,11921.0
National,,National,411,CHOLECYSTECTOMY WITH C.D.E. WITH MCC,156,136496.5,30749.9,24925.85
National,,National,412,CHOLECYSTECTOMY WITH C.D.E. WITH CC,208,109360.62,18418.64,15962.65
National,,National,413,CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC,107,82115.69,14360.16,11255.7
National,,National,414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC,951,162036.64,33315.15,28495.45
National,,National,415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC,1502,99492.35,18666.48,14907.29
National,,National,416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,551,66908.66,12905.66,9631.11
National,,National,417,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,10207,118190.25,21173.94,17776.85
National,,National,418,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,17920,86134.39,14625.33,11675.53
National,,National,419,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,8973,70862.64,11765.38,8936.47
National,,National,420,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC,660,157940.1,34161.91,28870.16
National,,National,421,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC,548,86761.78,17919.02,13973.18
National,,National,422,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC,142,76581.51,14425.85,10462.08
National,,National,423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC,1466,206848.05,41322.22,34414.23
National,,National,424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC,615,115570.49,21998.22,17677.42
National,,National,425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC,74,82834.0,15481.46,12164.68
National,,National,432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,15372,90224.87,18789.34,15560.02
National,,National,433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,8820,49875.43,10177.76,8027.25
National,,National,434,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC,309,32201.61,6270.5,5000.0
National,,National,435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,13026,88364.04,17467.3,13952.45
National,,National,436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC,5423,56498.95,10771.24,8271.74
National,,National,437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC,399,42926.25,8146.55,5938.33
National,,National,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,9662,76115.85,16037.11,12889.16
National,,National,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,15172,41669.84,8434.69,6066.57
National,,National,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,5968,31793.54,6159.04,3872.44
National,,National,441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",16594,82415.3,18646.99,15163.33
National,,National,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",10850,44346.11,9556.31,7285.31
National,,National,443,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",1328,34569.13,6820.06,4788.71
National,,National,444,DISORDERS OF THE BILIARY TRACT WITH MCC,12209,80746.64,15941.31,13072.28
National,,National,445,DISORDERS OF THE BILIARY TRACT WITH CC,16062,54483.34,10371.42,8180.29
National,,National,446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,5147,43686.41,7743.31,5604.26
National,,National,453,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,4384,424326.6,90641.49,79934.01
National,,National,454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,22561,268253.7,56538.21,47756.09
National,,National,455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,19095,193029.67,41210.61,34189.18
National,,National,456,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",1541,404601.19,85197.69,75767.1
National,,National,457,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",3968,267896.1,58610.75,50246.73
National,,National,458,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",1336,185829.87,42663.89,35771.68
National,,National,459,SPINAL FUSION EXCEPT CERVICAL WITH MCC,3436,277864.69,59282.37,51210.59
National,,National,460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,30637,159823.28,33557.22,27656.47
National,,National,461,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC,147,288708.8,66020.17,56667.77
National,,National,462,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,1840,128370.45,28134.05,21646.19
National,,National,463,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,4308,226904.49,49444.49,42196.32
National,,National,464,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,6630,130705.83,27559.1,22964.22
National,,National,465,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,1784,85738.57,17965.74,14456.31
National,,National,466,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,4809,213178.9,44676.39,39952.36
National,,National,467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC,19688,145862.92,30070.57,25853.66
National,,National,468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,14824,115659.78,23595.78,19666.1
National,,National,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,5693,138798.74,28479.09,24791.0
National,,National,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,77083,86029.98,16832.79,13737.48
National,,National,471,CERVICAL SPINAL FUSION WITH MCC,3156,225748.37,47634.44,41034.78
National,,National,472,CERVICAL SPINAL FUSION WITH CC,14761,136932.74,27681.28,22640.98
National,,National,473,CERVICAL SPINAL FUSION WITHOUT CC/MCC,6790,109804.73,21669.2,17355.5
National,,National,474,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,2781,176609.03,37028.73,32167.94
National,,National,475,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,3010,93399.82,19996.67,16212.83
National,,National,476,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,417,54494.75,11054.94,8359.86
National,,National,477,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,3279,151166.94,31186.87,26550.27
National,,National,478,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC,5410,108114.74,21040.82,17571.14
National,,National,479,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC,998,82779.22,15579.8,12860.9
National,,National,480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,28754,129255.49,25450.49,22687.14
National,,National,481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,66748,93806.28,17904.3,15420.36
National,,National,482,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC,15275,73214.89,14189.74,11617.43
National,,National,483,MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES,16189,115009.11,20877.46,17505.29
National,,National,485,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC,1437,146946.79,31119.18,26485.96
National,,National,486,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC,2790,96773.95,18847.44,15173.23
National,,National,487,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,730,73012.14,14705.27,10987.85
National,,National,488,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC,2268,87539.81,19041.33,15946.3
National,,National,489,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,2282,60514.54,11433.33,8807.63
National,,National,492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",5832,157518.74,30984.68,26704.19
National,,National,493,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",16220,110468.65,21398.52,17635.59
National,,National,494,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC",7783,89388.23,17060.82,13806.56
National,,National,495,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC,470,167354.15,35340.56,29816.31
National,,National,496,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC,1740,92467.75,19259.85,15749.52
National,,National,497,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/,1056,65825.38,13477.3,10481.11
National,,National,498,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC,791,114387.02,24574.15,20663.03
National,,National,499,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC,142,56064.92,13087.83,10185.03
National,,National,500,SOFT TISSUE PROCEDURES WITH MCC,2020,141635.66,30602.45,26020.14
National,,National,501,SOFT TISSUE PROCEDURES WITH CC,4195,81544.58,16468.92,12982.54
National,,National,502,SOFT TISSUE PROCEDURES WITHOUT CC/MCC,1671,68158.8,13350.84,9957.76
National,,National,503,FOOT PROCEDURES WITH MCC,785,116118.37,24016.46,21082.76
National,,National,504,FOOT PROCEDURES WITH CC,2427,80326.35,16041.66,13144.33
National,,National,505,FOOT PROCEDURES WITHOUT CC/MCC,755,80341.86,16085.26,13154.21
National,,National,506,MAJOR THUMB OR JOINT PROCEDURES,369,67522.18,14095.29,10915.6
National,,National,507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC,378,91208.77,18017.68,14928.38
National,,National,508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC,73,73998.3,16064.08,10552.49
National,,National,509,ARTHROSCOPY,14,90092.0,13069.07,12063.36
National,,National,510,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC",922,130698.62,24431.11,20782.03
National,,National,511,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC",2673,94933.64,17481.03,14489.81
National,,National,512,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",1379,80954.82,14288.14,11450.41
National,,National,513,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC",1503,72091.01,15346.01,12417.6
National,,National,514,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC",344,52867.28,10280.35,7489.01
National,,National,515,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,4251,138565.47,27599.76,24120.1
National,,National,516,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC,10971,95318.51,18035.17,14979.18
National,,National,517,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,6327,74086.03,13510.66,10792.12
National,,National,518,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,2198,170390.85,34445.41,29444.68
National,,National,519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,7381,98297.51,18724.04,15165.12
National,,National,520,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,4084,74552.1,13697.83,10413.09
