geo_level,geo_code,geo_description,service_level,apc_code,apc_description,hcpcs_code,hcpcs_description,beneficiary_count,apc_services,average_total_submitted_charges,average_medicare_allowed_amount,average_medicare_payment_amount,outlier_services,average_medicare_outlier_amount
State,04,Arizona,APC,5361,Level 1 Laparoscopy and Related Services,,,3947,3967,45716.69,5241.26,4158.94,68,3810.81
State,04,Arizona,APC,5362,Level 2 Laparoscopy and Related Services,,,2252,2262,79482.43,9082.97,7479.11,232,2058.53
State,04,Arizona,APC,5372,Level 2 Urology and Related Services,,,1191,1464,4469.33,449.54,353.23,0,
State,04,Arizona,APC,5373,Level 3 Urology and Related Services,,,2412,3112,14660.44,1773.15,1407.41,0,
State,04,Arizona,APC,5374,Level 4 Urology and Related Services,,,3735,4272,27846.3,3226.3,2564.74,0,
State,04,Arizona,APC,5375,Level 5 Urology and Related Services,,,4080,4272,37193.85,4750.07,3774.65,27,3496.91
State,04,Arizona,APC,5376,Level 6 Urology and Related Services,,,686,690,51457.55,8623.53,7021.16,0,
State,04,Arizona,APC,5377,Level 7 Urology and Related Services,,,28,28,50594.15,11730.02,10126.43,0,0.0
State,04,Arizona,APC,5378,Level 8 Urology and Related Services,,,216,218,108485.88,19347.08,17745.02,0,
State,04,Arizona,APC,5414,Level 4 Gynecologic Procedures,,,724,731,24570.39,2818.02,2232.47,0,
State,04,Arizona,APC,5415,Level 5 Gynecologic Procedures,,,593,598,44275.87,4634.53,3675.74,0,
State,04,Arizona,APC,5416,Level 6 Gynecologic Procedures,,,310,311,58806.05,6908.39,5467.52,0,
State,04,Arizona,APC,5431,Level 1 Nerve Procedures,,,1725,2124,12750.76,1675.8,1331.33,0,
State,04,Arizona,APC,5432,Level 2 Nerve Procedures,,,40,41,50838.9,5949.54,4673.41,0,
State,04,Arizona,APC,5461,Level 1 Neurostimulator and Related Procedures,,,107,108,36126.81,3215.12,2540.35,0,
State,04,Arizona,APC,5462,Level 2 Neurostimulator and Related Procedures,,,165,197,36328.8,5641.86,4483.91,0,
State,04,Arizona,APC,5463,Level 3 Neurostimulator and Related Procedures,,,43,44,51021.18,11907.26,10325.44,0,
State,04,Arizona,APC,5464,Level 4 Neurostimulator and Related Procedures,,,265,282,113126.66,21659.16,20056.47,0,
State,04,Arizona,APC,5465,Level 5 Neurostimulator and Related Procedures,,,550,552,151821.14,29520.72,27920.04,0,
State,04,Arizona,APC,5471,Implantation of Drug Infusion Device,,,47,49,73324.88,17176.52,15576.52,0,0.0
State,04,Arizona,APC,5491,Level 1 Intraocular Procedures,,,833,1198,12110.52,2232.71,1773.0,0,0.0
State,04,Arizona,APC,5492,Level 2 Intraocular Procedures,,,347,369,34119.56,4009.52,3187.23,0,
State,04,Arizona,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,193,195,16301.86,2134.82,1697.4,0,
State,04,Arizona,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,61,64,32794.16,3488.14,2769.57,0,
State,04,Arizona,APC,5627,Level 7 Radiation Therapy,,,80,83,39705.35,7307.78,5811.49,0,
State,04,Arizona,APC,5881,Ancillary Outpatient Services When Patient Dies,,,11,11,138688.7,11361.33,9740.78,0,
State,04,Arizona,APC,8011,Comprehensive Observation Services,,,22830,24960,24636.91,2469.21,1986.43,125,5961.61
State,05,Arkansas,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,3513,3723,8084.51,1315.02,1043.16,0,
State,05,Arkansas,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,2096,2757,13574.46,2229.04,1772.27,0,
State,05,Arkansas,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,381,382,16198.63,3049.94,2419.43,0,0.0
State,05,Arkansas,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,487,487,27140.83,5255.03,4174.27,0,
State,05,Arkansas,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,35,36,38374.98,7691.79,6102.68,0,
State,05,Arkansas,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,21,21,73735.79,14733.26,13133.26,0,
State,05,Arkansas,APC,5112,Level 2 Musculoskeletal Procedures,,,1230,1284,8239.27,1266.97,1003.24,0,0.0
State,05,Arkansas,APC,5113,Level 3 Musculoskeletal Procedures,,,2236,2300,14348.54,2593.35,2053.83,0,0.0
State,05,Arkansas,APC,5114,Level 4 Musculoskeletal Procedures,,,3289,3333,25679.36,5839.69,4630.92,0,
State,05,Arkansas,APC,5115,Level 5 Musculoskeletal Procedures,,,5782,5984,42884.26,11479.59,9878.96,0,
State,05,Arkansas,APC,5116,Level 6 Musculoskeletal Procedures,,,424,427,61643.05,19224.06,17625.19,0,0.0
State,05,Arkansas,APC,5153,Level 3 Airway Endoscopy,,,430,450,9013.97,1409.49,1116.6,0,0.0
State,05,Arkansas,APC,5154,Level 4 Airway Endoscopy,,,714,746,13743.07,2944.47,2338.58,0,
State,05,Arkansas,APC,5155,Level 5 Airway Endoscopy,,,235,236,20144.4,5460.24,4337.94,0,0.0
State,05,Arkansas,APC,5163,Level 3 ENT Procedures,,,54,54,7527.23,1252.67,998.06,0,0.0
State,05,Arkansas,APC,5164,Level 4 ENT Procedures,,,156,156,14847.12,2456.34,1939.34,0,0.0
State,05,Arkansas,APC,5165,Level 5 ENT Procedures,,,369,373,21524.71,4678.9,3715.93,0,0.0
State,05,Arkansas,APC,5166,Cochlear Implant Procedure,,,58,59,84738.78,29263.18,27663.18,0,0.0
State,05,Arkansas,APC,5182,Level 2 Vascular Procedures,,,845,890,6848.06,1310.53,1036.87,0,
State,05,Arkansas,APC,5183,Level 3 Vascular Procedures,,,2390,2559,14671.52,2604.18,2064.99,15,6521.45
State,05,Arkansas,APC,5184,Level 4 Vascular Procedures,,,525,561,28384.29,4300.24,3388.54,0,
State,05,Arkansas,APC,5191,Level 1 Endovascular Procedures,,,7858,7900,14296.4,2632.05,1842.07,0,
State,05,Arkansas,APC,5192,Level 2 Endovascular Procedures,,,882,954,24860.34,4575.29,3622.06,0,
State,05,Arkansas,APC,5193,Level 3 Endovascular Procedures,,,3331,3538,50970.83,9364.55,7769.27,117,2598.13
State,05,Arkansas,APC,5194,Level 4 Endovascular Procedures,,,784,822,68498.65,15179.63,13587.25,15,2213.54
State,05,Arkansas,APC,5200,Implantation Wireless PA Pressure Monitor,,,13,13,87283.32,20539.06,18939.06,0,0.0
State,05,Arkansas,APC,5211,Level 1 Electrophysiologic Procedures,,,0,0,,,,0,
State,05,Arkansas,APC,5212,Level 2 Electrophysiologic Procedures,,,183,185,24127.79,5965.05,4732.5,0,
State,05,Arkansas,APC,5213,Level 3 Electrophysiologic Procedures,,,1128,1141,85817.46,20807.61,19205.01,0,0.0
State,05,Arkansas,APC,5222,Level 2 Pacemaker and Similar Procedures,,,462,465,30794.09,7292.44,5801.35,0,
State,05,Arkansas,APC,5223,Level 3 Pacemaker and Similar Procedures,,,1360,1360,34595.29,9232.72,7630.85,0,
State,05,Arkansas,APC,5224,Level 4 Pacemaker and Similar Procedures,,,125,125,61682.44,16519.65,14918.85,0,0.0
State,05,Arkansas,APC,5231,Level 1 ICD and Similar Procedures,,,96,96,77380.53,20144.28,18541.93,0,0.0
State,05,Arkansas,APC,5232,Level 2 ICD and Similar Procedures,,,540,540,110394.33,27948.02,26344.04,0,
State,05,Arkansas,APC,5302,Level 2 Upper GI Procedures,,,1570,1724,8981.17,1535.29,1220.74,0,0.0
State,05,Arkansas,APC,5303,Level 3 Upper GI Procedures,,,200,203,14974.81,2820.16,2232.17,0,0.0
State,05,Arkansas,APC,5313,Level 3 Lower GI Procedures,,,372,376,14708.91,2284.8,1825.45,0,0.0
State,05,Arkansas,APC,5331,Complex GI Procedures,,,205,226,20722.09,4568.57,3625.01,0,0.0
State,05,Arkansas,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,849,881,18802.41,3147.54,2499.51,0,
State,05,Arkansas,APC,5361,Level 1 Laparoscopy and Related Services,,,2098,2108,22519.04,4585.4,3631.56,0,
State,05,Arkansas,APC,5362,Level 2 Laparoscopy and Related Services,,,1067,1069,41224.38,8030.89,6429.88,0,
State,05,Arkansas,APC,5372,Level 2 Urology and Related Services,,,1049,1423,2283.79,552.97,431.17,0,
State,05,Arkansas,APC,5373,Level 3 Urology and Related Services,,,1745,1945,9380.74,1652.46,1310.28,0,
State,05,Arkansas,APC,5374,Level 4 Urology and Related Services,,,2120,2377,14581.9,2857.84,2268.88,0,
State,05,Arkansas,APC,5375,Level 5 Urology and Related Services,,,1633,1693,17758.72,4191.42,3328.87,0,0.0
State,05,Arkansas,APC,5376,Level 6 Urology and Related Services,,,239,243,28981.57,7585.58,6022.22,0,
State,05,Arkansas,APC,5377,Level 7 Urology and Related Services,,,20,20,41486.25,10743.65,9142.35,0,0.0
State,05,Arkansas,APC,5378,Level 8 Urology and Related Services,,,114,117,57416.49,17125.03,15518.68,0,0.0
State,05,Arkansas,APC,5414,Level 4 Gynecologic Procedures,,,413,416,13409.23,2490.08,1972.99,0,0.0
State,05,Arkansas,APC,5415,Level 5 Gynecologic Procedures,,,261,261,21015.51,4102.47,3253.74,0,0.0
State,05,Arkansas,APC,5416,Level 6 Gynecologic Procedures,,,124,124,26703.09,6141.43,4858.27,0,0.0
State,05,Arkansas,APC,5431,Level 1 Nerve Procedures,,,2210,2671,7730.45,1599.8,1267.37,0,0.0
State,05,Arkansas,APC,5432,Level 2 Nerve Procedures,,,40,44,20455.59,4886.39,3870.24,0,0.0
State,05,Arkansas,APC,5461,Level 1 Neurostimulator and Related Procedures,,,99,99,14630.16,2853.31,2259.28,0,0.0
State,05,Arkansas,APC,5462,Level 2 Neurostimulator and Related Procedures,,,325,418,17629.44,4820.9,3829.43,0,
State,05,Arkansas,APC,5463,Level 3 Neurostimulator and Related Procedures,,,0,0,,,,0,
State,05,Arkansas,APC,5464,Level 4 Neurostimulator and Related Procedures,,,289,310,61482.15,19211.68,17609.68,0,0.0
State,05,Arkansas,APC,5465,Level 5 Neurostimulator and Related Procedures,,,294,298,80191.66,25719.82,24118.15,0,0.0
State,05,Arkansas,APC,5471,Implantation of Drug Infusion Device,,,59,59,41481.34,14775.82,13175.82,0,0.0
State,05,Arkansas,APC,5491,Level 1 Intraocular Procedures,,,1673,2507,8709.51,1911.42,1518.52,0,
State,05,Arkansas,APC,5492,Level 2 Intraocular Procedures,,,840,892,16736.4,3486.32,2762.83,0,
State,05,Arkansas,APC,5493,Level 3 Intraocular Procedures,,,11,11,20593.84,5890.39,4598.33,0,0.0
State,05,Arkansas,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,303,309,11342.36,1857.31,1474.13,0,0.0
State,05,Arkansas,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,40,40,15623.9,3093.21,2464.51,0,0.0
State,05,Arkansas,APC,5627,Level 7 Radiation Therapy,,,17,18,35149.12,6550.28,5153.84,0,
State,05,Arkansas,APC,5881,Ancillary Outpatient Services When Patient Dies,,,0,0,,,,0,
State,05,Arkansas,APC,8011,Comprehensive Observation Services,,,10619,11409,13771.18,2165.96,1732.63,0,
State,06,California,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,25341,27776,13854.49,1872.58,1487.55,201,5755.14
State,06,California,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,9547,10843,26536.36,3234.67,2573.05,315,4963.58
State,06,California,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,4173,4323,38875.68,4315.47,3430.8,201,3955.21
State,06,California,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,4706,4729,64558.44,7481.35,6002.05,539,3734.41
State,06,California,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,483,495,86057.78,11074.32,9472.04,93,5019.18
State,06,California,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,267,272,142846.9,20767.09,19166.26,20,3196.43
State,06,California,APC,5112,Level 2 Musculoskeletal Procedures,,,5676,5810,17808.52,1802.05,1429.38,61,5871.4
State,06,California,APC,5113,Level 3 Musculoskeletal Procedures,,,7849,7999,33093.5,3723.68,2957.2,263,4671.51
State,06,California,APC,5114,Level 4 Musculoskeletal Procedures,,,12314,12455,63280.62,8342.89,6767.32,872,3727.11
State,06,California,APC,5115,Level 5 Musculoskeletal Procedures,,,28251,29182,106852.57,16271.84,14671.01,773,2663.12
State,06,California,APC,5116,Level 6 Musculoskeletal Procedures,,,891,904,160704.1,27313.06,25713.27,50,7733.3
State,06,California,APC,5153,Level 3 Airway Endoscopy,,,3434,4192,15745.32,2018.99,1605.24,52,6224.25
State,06,California,APC,5154,Level 4 Airway Endoscopy,,,4009,4414,40372.44,4262.35,3388.21,333,4787.55
State,06,California,APC,5155,Level 5 Airway Endoscopy,,,2635,2671,68583.23,7822.08,6298.57,414,3163.0
State,06,California,APC,5163,Level 3 ENT Procedures,,,479,595,12214.06,1778.16,1413.57,0,
State,06,California,APC,5164,Level 4 ENT Procedures,,,1046,1142,31103.94,3426.86,2721.1,55,4841.56
State,06,California,APC,5165,Level 5 ENT Procedures,,,3281,3323,59870.83,6791.77,5406.77,429,4254.67
State,06,California,APC,5166,Cochlear Implant Procedure,,,284,287,164380.02,42685.54,41083.55,0,0.0
State,06,California,APC,5182,Level 2 Vascular Procedures,,,5548,5795,14213.0,1833.34,1456.04,112,5861.19
State,06,California,APC,5183,Level 3 Vascular Procedures,,,14656,15496,29324.33,3721.28,2957.88,339,5128.86
State,06,California,APC,5184,Level 4 Vascular Procedures,,,5147,5529,54228.51,6235.93,4957.47,574,4559.2
State,06,California,APC,5191,Level 1 Endovascular Procedures,,,21375,21479,39264.16,3670.33,2572.71,663,4071.52
State,06,California,APC,5192,Level 2 Endovascular Procedures,,,5476,6270,46494.3,6591.83,5241.6,257,3911.29
State,06,California,APC,5193,Level 3 Endovascular Procedures,,,11116,12205,101972.95,13058.57,11476.34,1171,3320.68
State,06,California,APC,5194,Level 4 Endovascular Procedures,,,3133,3264,134796.14,21464.47,19873.26,100,4157.68
State,06,California,APC,5200,Implantation Wireless PA Pressure Monitor,,,216,216,188881.42,34567.66,32967.32,0,0.0
State,06,California,APC,5211,Level 1 Electrophysiologic Procedures,,,0,0,,,,0,
State,06,California,APC,5212,Level 2 Electrophysiologic Procedures,,,418,424,77951.59,8469.64,6889.25,63,3655.59
State,06,California,APC,5213,Level 3 Electrophysiologic Procedures,,,8959,9123,188815.98,30116.09,28514.29,99,4478.34
State,06,California,APC,5222,Level 2 Pacemaker and Similar Procedures,,,1962,1964,55810.62,10362.89,8758.2,35,4549.74
State,06,California,APC,5223,Level 3 Pacemaker and Similar Procedures,,,5706,5711,73774.82,12941.74,11339.35,109,2447.71
State,06,California,APC,5224,Level 4 Pacemaker and Similar Procedures,,,610,610,132639.19,23685.09,22083.63,0,
State,06,California,APC,5231,Level 1 ICD and Similar Procedures,,,475,475,158926.69,28389.61,26785.32,22,2848.24
State,06,California,APC,5232,Level 2 ICD and Similar Procedures,,,2027,2032,203706.63,40215.0,38613.19,33,5559.91
State,06,California,APC,5244,Level 4 Blood Product Exchange and Related Services,,,0,0,,,,0,
State,06,California,APC,5302,Level 2 Upper GI Procedures,,,15001,16462,18077.34,2193.27,1748.35,113,5249.66
State,06,California,APC,5303,Level 3 Upper GI Procedures,,,2188,2283,31741.51,4118.4,3275.86,62,4094.28
State,06,California,APC,5313,Level 3 Lower GI Procedures,,,3493,3610,21798.72,3219.0,2592.97,34,4922.34
State,06,California,APC,5331,Complex GI Procedures,,,1908,2379,45201.47,6558.88,5220.38,65,3947.82
State,06,California,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,6198,6622,36969.3,4423.74,3515.4,372,5082.77
State,06,California,APC,5361,Level 1 Laparoscopy and Related Services,,,12189,12288,57586.22,6512.08,5173.28,1128,3891.01
State,06,California,APC,5362,Level 2 Laparoscopy and Related Services,,,7007,7042,100594.87,11455.94,9856.75,1721,3217.77
State,06,California,APC,5372,Level 2 Urology and Related Services,,,10983,16379,4423.95,781.02,617.08,30,8926.0
State,06,California,APC,5373,Level 3 Urology and Related Services,,,11495,13847,16580.19,2334.71,1855.42,91,4797.09
State,06,California,APC,5374,Level 4 Urology and Related Services,,,9667,10594,33811.58,4037.44,3211.13,205,4276.77
State,06,California,APC,5375,Level 5 Urology and Related Services,,,10701,11226,47561.01,5957.89,4737.02,565,3535.01
State,06,California,APC,5376,Level 6 Urology and Related Services,,,1940,1976,59167.09,10634.41,9033.64,125,2721.45
State,06,California,APC,5377,Level 7 Urology and Related Services,,,82,83,72227.63,15082.23,13479.5,0,0.0
State,06,California,APC,5378,Level 8 Urology and Related Services,,,640,653,116041.62,24174.54,22579.78,0,
State,06,California,APC,5414,Level 4 Gynecologic Procedures,,,3182,3213,28295.32,3533.03,2805.28,43,4674.17
State,06,California,APC,5415,Level 5 Gynecologic Procedures,,,1855,1956,51908.31,5873.73,4669.68,165,4789.29
State,06,California,APC,5416,Level 6 Gynecologic Procedures,,,837,873,72139.46,8926.41,7324.45,101,4431.91
State,06,California,APC,5431,Level 1 Nerve Procedures,,,6977,7745,18654.91,2235.22,1776.48,146,5268.09
State,06,California,APC,5432,Level 2 Nerve Procedures,,,244,258,69767.35,7755.29,6250.68,51,4741.13
State,06,California,APC,5461,Level 1 Neurostimulator and Related Procedures,,,294,302,35022.38,4046.72,3219.13,26,4977.04
State,06,California,APC,5462,Level 2 Neurostimulator and Related Procedures,,,711,794,44548.38,7667.1,6212.97,38,3337.34
State,06,California,APC,5463,Level 3 Neurostimulator and Related Procedures,,,122,125,116007.08,15587.49,13983.84,11,4050.23
State,06,California,APC,5464,Level 4 Neurostimulator and Related Procedures,,,587,601,101863.9,27078.35,25477.45,0,
State,06,California,APC,5465,Level 5 Neurostimulator and Related Procedures,,,1109,1124,148644.13,36783.73,35181.57,0,
State,06,California,APC,5471,Implantation of Drug Infusion Device,,,304,306,95937.14,20843.05,19242.07,0,
State,06,California,APC,5491,Level 1 Intraocular Procedures,,,20973,28915,19200.94,2748.21,2183.81,116,4435.1
State,06,California,APC,5492,Level 2 Intraocular Procedures,,,5957,6414,42090.62,5101.9,4057.95,196,3764.02
State,06,California,APC,5493,Level 3 Intraocular Procedures,,,58,58,70386.61,9096.53,7496.53,17,6106.8
State,06,California,APC,5494,Level 4 Intraocular Procedures,,,18,21,43146.65,20371.13,18771.13,0,0.0
State,06,California,APC,5495,Level 5 Intraocular Procedures,,,0,0,,,,0,
State,06,California,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,2926,3040,21223.65,2697.89,2144.43,39,5432.95
State,06,California,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,510,525,35037.62,4468.35,3554.06,24,4120.92
State,06,California,APC,5627,Level 7 Radiation Therapy,,,803,890,81390.79,9820.81,8231.96,242,2108.98
State,06,California,APC,5881,Ancillary Outpatient Services When Patient Dies,,,18,18,159442.71,15021.52,13421.52,0,
State,06,California,APC,8011,Comprehensive Observation Services,,,68558,73571,39413.97,3067.15,2541.96,2402,4559.73
State,08,Colorado,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,4136,4312,13237.19,1483.22,1178.01,17,6489.58
State,08,Colorado,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,1784,2009,26899.64,2560.54,2036.44,40,5119.27
State,08,Colorado,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,655,673,30250.61,3414.28,2716.38,12,5503.39
State,08,Colorado,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,665,667,52925.58,5922.34,4707.92,38,5057.95
State,08,Colorado,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,83,84,137723.8,8684.63,7084.63,21,5298.1
State,08,Colorado,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,59,60,154873.81,16618.35,15018.35,13,3072.21
State,08,Colorado,APC,5112,Level 2 Musculoskeletal Procedures,,,881,910,14783.13,1420.67,1125.15,0,
State,08,Colorado,APC,5113,Level 3 Musculoskeletal Procedures,,,1525,1552,28491.02,2945.94,2338.53,48,4519.86
State,08,Colorado,APC,5114,Level 4 Musculoskeletal Procedures,,,3076,3114,51302.56,6546.12,5198.8,178,3954.08
State,08,Colorado,APC,5115,Level 5 Musculoskeletal Procedures,,,9525,9887,88476.83,12973.42,11373.39,479,2461.14
State,08,Colorado,APC,5116,Level 6 Musculoskeletal Procedures,,,456,461,138167.8,21749.58,20147.71,17,2463.2
State,08,Colorado,APC,5153,Level 3 Airway Endoscopy,,,460,497,13024.19,1585.52,1260.6,0,
State,08,Colorado,APC,5154,Level 4 Airway Endoscopy,,,930,1009,24065.3,3296.32,2620.23,17,4116.55
State,08,Colorado,APC,5155,Level 5 Airway Endoscopy,,,440,442,49773.88,6071.99,4815.31,0,
State,08,Colorado,APC,5163,Level 3 ENT Procedures,,,61,65,16927.44,1384.36,1102.99,0,0.0
State,08,Colorado,APC,5164,Level 4 ENT Procedures,,,168,168,26225.9,2836.52,2253.68,0,
State,08,Colorado,APC,5165,Level 5 ENT Procedures,,,593,599,50333.31,5282.77,4197.95,22,4161.68
State,08,Colorado,APC,5166,Cochlear Implant Procedure,,,127,128,305634.55,32554.48,30950.95,0,0.0
State,08,Colorado,APC,5182,Level 2 Vascular Procedures,,,1025,1073,10041.72,1466.36,1162.5,13,5864.29
State,08,Colorado,APC,5183,Level 3 Vascular Procedures,,,2494,2725,25715.73,2948.26,2342.13,26,6209.2
State,08,Colorado,APC,5184,Level 4 Vascular Procedures,,,560,605,57509.86,4939.93,3918.72,42,4211.69
State,08,Colorado,APC,5191,Level 1 Endovascular Procedures,,,3487,3498,31061.36,2957.08,2074.39,37,4092.71
State,08,Colorado,APC,5192,Level 2 Endovascular Procedures,,,740,943,39887.65,5174.28,4113.99,22,4456.13
State,08,Colorado,APC,5193,Level 3 Endovascular Procedures,,,1730,1862,96809.85,10474.3,8881.07,221,2890.38
State,08,Colorado,APC,5194,Level 4 Endovascular Procedures,,,548,565,128550.35,16825.09,15227.57,22,2795.92
State,08,Colorado,APC,5200,Implantation Wireless PA Pressure Monitor,,,0,0,,,,0,
State,08,Colorado,APC,5211,Level 1 Electrophysiologic Procedures,,,0,0,,,,0,
State,08,Colorado,APC,5212,Level 2 Electrophysiologic Procedures,,,106,107,54089.59,6681.65,5316.41,0,
State,08,Colorado,APC,5213,Level 3 Electrophysiologic Procedures,,,1822,1850,170370.99,23210.0,21607.79,97,6243.3
State,08,Colorado,APC,5222,Level 2 Pacemaker and Similar Procedures,,,528,531,48063.58,8136.6,6534.53,0,
State,08,Colorado,APC,5223,Level 3 Pacemaker and Similar Procedures,,,855,855,72387.81,10296.2,8696.02,29,1781.17
State,08,Colorado,APC,5224,Level 4 Pacemaker and Similar Procedures,,,138,140,118670.91,18435.61,16841.12,0,
State,08,Colorado,APC,5231,Level 1 ICD and Similar Procedures,,,69,69,143384.68,21773.69,20170.58,0,0.0
State,08,Colorado,APC,5232,Level 2 ICD and Similar Procedures,,,296,296,226341.18,31643.18,30040.5,0,
State,08,Colorado,APC,5244,Level 4 Blood Product Exchange and Related Services,,,0,0,,,,0,
State,08,Colorado,APC,5302,Level 2 Upper GI Procedures,,,2834,3225,13734.19,1729.35,1378.22,14,5947.49
State,08,Colorado,APC,5303,Level 3 Upper GI Procedures,,,473,501,26573.1,3202.84,2546.85,0,
State,08,Colorado,APC,5313,Level 3 Lower GI Procedures,,,433,440,18519.31,2547.04,2050.99,0,0.0
State,08,Colorado,APC,5331,Complex GI Procedures,,,449,534,42898.03,5161.52,4106.98,0,
State,08,Colorado,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,1004,1062,30331.97,3514.82,2791.35,37,4491.54
State,08,Colorado,APC,5361,Level 1 Laparoscopy and Related Services,,,2446,2455,45928.06,5182.64,4117.56,66,3622.17
State,08,Colorado,APC,5362,Level 2 Laparoscopy and Related Services,,,1798,1800,81201.1,8974.7,7371.84,78,2424.06
State,08,Colorado,APC,5372,Level 2 Urology and Related Services,,,1164,1531,3918.52,621.91,489.85,0,
State,08,Colorado,APC,5373,Level 3 Urology and Related Services,,,1505,1881,13743.76,1841.11,1462.31,0,
State,08,Colorado,APC,5374,Level 4 Urology and Related Services,,,1500,1668,24741.92,3209.2,2551.97,0,
State,08,Colorado,APC,5375,Level 5 Urology and Related Services,,,1832,1927,35005.42,4709.29,3745.95,56,3965.95
State,08,Colorado,APC,5376,Level 6 Urology and Related Services,,,329,331,58989.2,8637.94,7038.98,0,
State,08,Colorado,APC,5377,Level 7 Urology and Related Services,,,53,59,62619.46,11792.56,10192.56,0,0.0
State,08,Colorado,APC,5378,Level 8 Urology and Related Services,,,83,83,133330.88,18589.3,16988.94,0,
State,08,Colorado,APC,5414,Level 4 Gynecologic Procedures,,,569,571,24628.29,2818.15,2238.17,0,
State,08,Colorado,APC,5415,Level 5 Gynecologic Procedures,,,220,232,34590.53,4603.31,3656.8,0,
State,08,Colorado,APC,5416,Level 6 Gynecologic Procedures,,,64,64,59497.43,6812.34,5391.21,0,
State,08,Colorado,APC,5431,Level 1 Nerve Procedures,,,1187,1332,14966.31,1784.93,1415.9,0,
State,08,Colorado,APC,5432,Level 2 Nerve Procedures,,,33,33,52003.98,6219.95,4950.27,0,
State,08,Colorado,APC,5461,Level 1 Neurostimulator and Related Procedures,,,60,60,33953.22,3215.41,2553.18,0,
State,08,Colorado,APC,5462,Level 2 Neurostimulator and Related Procedures,,,138,146,30952.0,6402.92,5099.36,0,0.0
State,08,Colorado,APC,5463,Level 3 Neurostimulator and Related Procedures,,,39,39,87877.55,11834.88,10230.92,0,
State,08,Colorado,APC,5464,Level 4 Neurostimulator and Related Procedures,,,208,224,124741.77,21081.2,19479.48,0,
State,08,Colorado,APC,5465,Level 5 Neurostimulator and Related Procedures,,,343,347,173376.49,28940.53,27339.5,0,
State,08,Colorado,APC,5471,Implantation of Drug Infusion Device,,,31,33,112037.86,15839.64,14232.79,0,0.0
State,08,Colorado,APC,5491,Level 1 Intraocular Procedures,,,2484,3730,10230.44,2144.54,1704.76,0,0.0
State,08,Colorado,APC,5492,Level 2 Intraocular Procedures,,,721,817,20428.86,3913.07,3110.33,0,
State,08,Colorado,APC,5493,Level 3 Intraocular Procedures,,,0,0,,,,0,
State,08,Colorado,APC,5494,Level 4 Intraocular Procedures,,,0,0,,,,0,
State,08,Colorado,APC,5495,Level 5 Intraocular Procedures,,,0,0,,,,0,
State,08,Colorado,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,362,368,17103.96,2086.14,1657.79,0,
State,08,Colorado,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,55,58,31221.47,3465.87,2757.33,0,0.0
State,08,Colorado,APC,5627,Level 7 Radiation Therapy,,,178,199,113217.68,7635.38,6081.34,44,5094.49
State,08,Colorado,APC,5881,Ancillary Outpatient Services When Patient Dies,,,11,11,106677.41,12276.56,10676.56,0,
State,08,Colorado,APC,8011,Comprehensive Observation Services,,,11252,12021,31209.85,2418.94,1948.1,91,4688.8
State,09,Connecticut,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,3474,3818,9763.04,1696.78,1345.49,20,5417.25
State,09,Connecticut,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,1337,1471,15738.76,2899.12,2303.06,0,
State,09,Connecticut,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,614,642,21506.34,3920.06,3108.86,0,
State,09,Connecticut,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,517,517,34017.02,6763.71,5379.45,25,3114.02
