state_abbr,county_name,hospital_name,city,wait_text,wait_minutes,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,source_url,scrape_ts,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu,lat,lon,full_address
ID,Bonner,Bonner General Hospital,Sandpoint,3h 9m,189.0,https://www.hospitalstats.org/hospital-ratings/bonner-general-hospital-sandpoint-id.htm,Bonner General Hospital Ratings,520 North Third Avenue,Sandpoint,ID,83864.0,(208) 263-1441,Critical Access Hospitals,YES,7% worse,7.0,worse,,13.8,,20.6,3.0,0.0,189.0,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Bonner-County-ID.htm,2025-10-18T17:32:37.212017+00:00,9,7,7% worse (±0),16,"no data for specific chief complaint, quality point remains at 16",14,"no data for specific chief complaint, quality point remains at 16",12,,,"520 North Third Avenue, Sandpoint, ID 83864"
ID,Canyon,West Valley Medical Center,Caldwell,2h 18m,138.0,https://www.hospitalstats.org/hospital-ratings/west-valley-medical-center-caldwell-id.htm,West Valley Medical Center Ratings,1717 Arlington Street,Caldwell,ID,83605.0,(208) 459-4641,Acute Care Hospitals,YES,4% better,4.0,better,,,13.4,15.5,0.0,0.0,138.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Canyon-County-ID.htm,2025-10-18T17:32:47.908966+00:00,10,7,4% better (±0),17,"no data for specific chief complaint, quality point remains at 17","no data for specific chief complaint, quality point remains at 17",15,14,,,"1717 Arlington Street, Caldwell, ID 83605"
ID,Canyon,St Luke's Nampa Medical Center,Nampa,2h 33m,153.0,https://www.hospitalstats.org/hospital-ratings/st-lukes-nampa-medical-center-nampa-id.htm,St Luke's Nampa Medical Center Ratings,9850 West St Lukes Drive,Nampa,ID,83687.0,(208) 505-2000,Acute Care Hospitals,YES,5% better,5.0,better,13.2,13.4,12.4,14.9,8.0,0.0,153.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Canyon-County-ID.htm,2025-10-18T17:32:47.908966+00:00,10,10,5% better (±0),20,18,18,18,18,,,"9850 West Street Lukes Drive, Nampa, ID 83687"
ID,Franklin,Franklin County Medical Center,Preston,2h 52m,172.0,https://www.hospitalstats.org/hospital-ratings/franklin-county-medical-center-preston-id.htm,Franklin County Medical Center Ratings,44 North First East,Preston,ID,83263.0,(208) 852-0137,Critical Access Hospitals,YES,2% worse,2.0,worse,,,11.4,19.2,,,172.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,https://www.hospitalstats.org/ER-Wait-Time/Franklin-County-ID.htm,2025-10-18T17:32:55.748131+00:00,9,10,2% worse (±0),19,"no data for specific chief complaint, quality point remains at 19","no data for specific chief complaint, quality point remains at 19",17,16,,,"44 North First East, Preston, ID 83263"
ID,Nez Perce,St Joseph Regional Medical Center,Lewiston,3h 3m,183.0,https://www.hospitalstats.org/hospital-ratings/st-joseph-regional-medical-center-lewiston-id.htm,St Joseph Regional Medical Center Ratings,415 Sixth Street,Lewiston,ID,83501.0,(208) 799-5300,Acute Care Hospitals,YES,8% worse,8.0,worse,14.2,16.5,11.8,18.8,6.0,1.0,183.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Nez-Perce-County-ID.htm,2025-10-18T17:33:10.635095+00:00,9,7,8% worse (±0),16,14,13,14,13,,,"415 Sixth Street, Lewiston, ID 83501"
IL,Champaign,Osf Heart Of Mary Medical Center,Urbana,2h 14m,134.0,https://www.hospitalstats.org/hospital-ratings/osf-heart-of-mary-medical-center-urbana-il.htm,Osf Heart Of Mary Medical Center Ratings,1400 West Park Avenue,Urbana,IL,61801.0,(217) 337-2000,Acute Care Hospitals,YES,1% worse,1.0,worse,13.4,11.9,12.9,19.0,9.0,1.0,134.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Champaign-County-IL.htm,2025-10-18T17:33:31.173714+00:00,10,7,1% worse (±0),17,15,15,15,14,,,"1400 West Park Avenue, Urbana, IL 61801"
IL,Christian,Pana Community Hospital,Pana,2h 10m,130.0,https://www.hospitalstats.org/hospital-ratings/pana-community-hospital-pana-il.htm,Pana Community Hospital Ratings,101 E Ninth Street,Pana,IL,62557.0,(217) 562-2131,Critical Access Hospitals,YES,1% worse,1.0,worse,,,,18.4,1.0,0.0,130.0,POOR,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it,,https://www.hospitalstats.org/ER-Wait-Time/Christian-County-IL.htm,2025-10-18T17:33:34.073586+00:00,10,5,1% worse (±0),15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",12,,,"101 E Ninth Street, Pana, IL 62557"
IL,Clay,Clay County Hospital,Flora,1h 39m,99.0,https://www.hospitalstats.org/hospital-ratings/clay-county-hospital-flora-il.htm,Clay County Hospital Ratings,911 Stacy Burk Dr,Flora,IL,62839.0,(618) 662-2131,Critical Access Hospitals,YES,1% worse,1.0,worse,,,,18.3,2.0,0.0,99.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Clay-County-IL.htm,2025-10-18T17:33:35.961253+00:00,10,10,1% worse (±0),20,"no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20",17,,,"911 Stacy Burk Drive, Flora, IL 62839"
IL,Cook,Macneal  Hospital,Berwyn,3h 48m,228.0,https://www.hospitalstats.org/hospital-ratings/macneal-hospital-berwyn-il.htm,Macneal Hospital Ratings,3249 South Oak Park Avenue,Berwyn,IL,60402.0,(708) 783-9100,Acute Care Hospitals,YES,6% better,6.0,better,13.3,12.4,10.7,17.0,20.0,2.0,228.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Cook-County-IL.htm,2025-10-18T17:34:26.501705+00:00,7,7,6% better (±0),14,12,12,12,11,,,"3249 South Oak Park Avenue, Berwyn, IL 60402"
IL,Cook,Loyola Gottlieb Memorial Hospital,Melrose Park,4h 50m,290.0,https://www.hospitalstats.org/hospital-ratings/loyola-gottlieb-memorial-hospital-melrose-park-il.htm,Loyola Gottlieb Memorial Hospital Ratings,701 West North Ave,Melrose Park,IL,60160.0,(708) 681-3200,Acute Care Hospitals,YES,6% better,6.0,better,12.4,12.2,11.7,16.8,8.0,1.0,290.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Cook-County-IL.htm,2025-10-18T17:34:26.501705+00:00,5,7,6% better (±0),12,10,10,10,9,,,"701 West North Avenue, Melrose Park, IL 60160"
IL,Cook,University Of Illinois Hospital And Clinics,Chicago,5h 36m,336.0,https://www.hospitalstats.org/hospital-ratings/university-of-illinois-hospital-and-clinics-chicago-il.htm,University Of Illinois Hospital And Clinics Ratings,1740 West Taylor St Suite 1400,Chicago,IL,60612.0,(312) 996-3900,Acute Care Hospitals,YES,16% better,16.0,better,11.8,12.8,9.2,14.7,39.0,11.0,336.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Cook-County-IL.htm,2025-10-18T17:34:26.501705+00:00,4,7,16% better (±1),12,10,10,11,10,,,"1740 West Taylor Street Suite 1400, Chicago, IL 60612"
IL,Cook,Ann & Robert H Lurie Childrens Hospital Of Chicago,Chicago,,,https://www.hospitalstats.org/hospital-ratings/ann-robert-h-lurie-childrens-hospital-of-chicago-chicago-il.htm,Ann & Robert H Lurie Childrens Hospital Of Chicago Ratings,"225 E Chicago Ave, Box 140",Chicago,IL,60611.0,(312) 227-4000,Childrens,YES,,,,,,,,,,,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Cook-County-IL.htm,2025-10-18T17:34:26.501705+00:00,wait time rating not available,5,mortality not used,14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",,,"225 E Chicago Avenue, Box 140, Chicago, IL 60611"
IL,Iroquois,Iroquois Memorial Hospital,Watseka,2h 52m,172.0,https://www.hospitalstats.org/hospital-ratings/iroquois-memorial-hospital-watseka-il.htm,Iroquois Memorial Hospital Ratings,200 Fairman Street,Watseka,IL,60970.0,(815) 432-5201,Acute Care Hospitals,YES,13% worse,13.0,worse,,,13.4,21.2,0.0,0.0,172.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Iroquois-County-IL.htm,2025-10-18T17:34:51.875555+00:00,9,5,13% worse (±1),13,"no data for specific chief complaint, quality point remains at 13","no data for specific chief complaint, quality point remains at 13",11,9,,,"200 Fairman Street, Watseka, IL 60970"
IL,Jefferson,Good Samaritan Regional Hlth Center,Mount Vernon,3h 18m,198.0,https://www.hospitalstats.org/hospital-ratings/good-samaritan-regional-hlth-center-mount-vernon-il.htm,Good Samaritan Regional Hlth Center Ratings,1 Good Samaritan Way,Mount Vernon,IL,62864.0,(618) 899-1469,Acute Care Hospitals,YES,3% better,3.0,better,12.1,11.4,11.6,19.8,10.0,4.0,198.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-IL.htm,2025-10-18T17:34:57.660864+00:00,8,7,3% better (±0),15,13,13,13,12,,,"1 Good Samaritan Way, Mount Vernon, IL 62864"
IL,Lake,Advocate Good Shepherd Hospital,Barrington,3h 7m,187.0,https://www.hospitalstats.org/hospital-ratings/advocate-good-shepherd-hospital-barrington-il.htm,Advocate Good Shepherd Hospital Ratings,450 West Highway 22,Barrington,IL,60010.0,(847) 381-9600,Acute Care Hospitals,YES,16% better,16.0,better,12.1,12.2,10.0,14.6,6.0,2.0,187.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Lake-County-IL.htm,2025-10-18T17:35:23.093451+00:00,9,7,16% better (±1),17,15,15,16,15,,,"450 West Highway 22, Barrington, IL 60010"
IL,Lake,North Chicago Va Medical Center,North Chicago,,,https://www.hospitalstats.org/hospital-ratings/north-chicago-va-medical-center-north-chicago-il.htm,North Chicago Va Medical Center Ratings,3001 Greenbay Road,North Chicago,IL,60064.0,(847) 688-1900,Acute Care - Veterans Administration,YES,43% better,43.0,better,,,7.4,13.6,,,,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Lake-County-IL.htm,2025-10-18T17:35:23.093451+00:00,wait time rating not available,7,43% better (±2),18,"no data for specific chief complaint, quality point remains at 18","no data for specific chief complaint, quality point remains at 18",17,16,,,"3001 Greenbay Road, North Chicago, IL 60064"
IL,Perry,Pinckneyville Community Hospital,Pinckneyville,3h 3m,183.0,https://www.hospitalstats.org/hospital-ratings/pinckneyville-community-hospital-pinckneyville-il.htm,Pinckneyville Community Hospital Ratings,5383 State Route 154,Pinckneyville,IL,62274.0,(618) 357-2187,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,183.0,POOR,,,https://www.hospitalstats.org/ER-Wait-Time/Perry-County-IL.htm,2025-10-18T17:36:03.210995+00:00,9,5,mortality not used,14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",,,"5383 State Route 154, Pinckneyville, IL 62274"
IL,Saline,Harrisburg Medical Center,Harrisburg,2h 42m,162.0,https://www.hospitalstats.org/hospital-ratings/harrisburg-medical-center-harrisburg-il.htm,Harrisburg Medical Center Ratings,100 Doctor Warren Tuttle Dr,Harrisburg,IL,62946.0,(618) 253-7671,Acute Care Hospitals,YES,11% worse,11.0,worse,,,11.4,22.4,1.0,1.0,162.0,POOR,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Saline-County-IL.htm,2025-10-18T17:36:19.478238+00:00,10,5,11% worse (±1),14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",12,10,,,"100 Doctor Warren Tuttle Drive, Harrisburg, IL 62946"
IL,Wayne,Fairfield Memorial Hospital 1,Fairfield,2h 17m,137.0,https://www.hospitalstats.org/hospital-ratings/fairfield-memorial-hospital-1-fairfield-il.htm,Fairfield Memorial Hospital 1 Ratings,303 N W 11th Street,Fairfield,IL,62837.0,(618) 842-2611,Critical Access Hospitals,YES,13% worse,13.0,worse,,,14.7,19.7,2.0,0.0,137.0,POOR,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Wayne-County-IL.htm,2025-10-18T17:36:41.098372+00:00,10,5,13% worse (±1),14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",12,11,,,"303 N W 11th Street, Fairfield, IL 62837"
IL,Whiteside,Cgh Medical Center,Sterling,3h 3m,183.0,https://www.hospitalstats.org/hospital-ratings/cgh-medical-center-sterling-il.htm,Cgh Medical Center Ratings,100 East Lefevre Road,Sterling,IL,61081.0,(815) 625-0400,Acute Care Hospitals,YES,18% worse,18.0,worse,12.4,15.5,15.8,24.9,6.0,1.0,183.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Whiteside-County-IL.htm,2025-10-18T17:36:44.023873+00:00,9,7,18% worse (±1),15,13,12,12,11,,,"100 East Lefevre Road, Sterling, IL 61081"
IN,De Kalb,Parkview Dekalb Hospital,Auburn,2h 22m,142.0,https://www.hospitalstats.org/hospital-ratings/parkview-dekalb-hospital-auburn-in.htm,Parkview Dekalb Hospital Ratings,1316 E Seventh St,Auburn,IN,46706.0,(260) 925-4600,Acute Care Hospitals,YES,2% worse,2.0,worse,,,11.3,19.2,0.0,0.0,142.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it,,https://www.hospitalstats.org/ER-Wait-Time/De-Kalb-County-IN.htm,2025-10-18T17:37:27.518153+00:00,10,10,2% worse (±0),20,"no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20",18,17,,,"1316 E Seventh Street, Auburn, IN 46706"
IN,Hendricks,Iu Health West Hospital,Avon,3h 46m,226.0,https://www.hospitalstats.org/hospital-ratings/iu-health-west-hospital-avon-in.htm,Iu Health West Hospital Ratings,1111 N Ronald Reagan Pkwy,Avon,IN,46123.0,(317) 217-3000,Acute Care Hospitals,YES,8% better,8.0,better,12.5,11.8,11.2,16.9,6.0,0.0,226.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Hendricks-County-IN.htm,2025-10-18T17:38:02.048887+00:00,7,7,8% better (±0),14,12,12,12,11,,,"1111 N Ronald Reagan Parkway, Avon, IN 46123"
IN,Jefferson,Norton-King's Daughters' Health,Madison,3h 4m,184.0,https://www.hospitalstats.org/hospital-ratings/norton-kings-daughters-health-madison-in.htm,Norton-King's Daughters' Health Ratings,1373 East Sr 62,Madison,IN,47250.0,(812) 801-0105,Acute Care Hospitals,YES,4% worse,4.0,worse,,13.4,12.7,19.5,5.0,0.0,184.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-IN.htm,2025-10-18T17:38:17.698300+00:00,9,7,4% worse (±0),16,"no data for specific chief complaint, quality point remains at 16",14,14,13,,,"1373 East Sr 62, Madison, IN 47250"
IN,Lawrence,Indiana University Health Bedford Hospital,Bedford,2h 30m,150.0,https://www.hospitalstats.org/hospital-ratings/indiana-university-health-bedford-hospital-bedford-in.htm,Indiana University Health Bedford Hospital Ratings,2900 W 16th St,Bedford,IN,47421.0,(812) 275-1200,Critical Access Hospitals,YES,4% better,4.0,better,,12.8,11.7,17.9,0.0,0.0,150.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Lawrence-County-IN.htm,2025-10-18T17:38:42.192862+00:00,10,5,4% better (±0),15,"no data for specific chief complaint, quality point remains at 15",13,13,12,,,"2900 W 16th Street, Bedford, IN 47421"
IN,Marion,Indianapolis Va Medical Center,Indianapolis,,,https://www.hospitalstats.org/hospital-ratings/indianapolis-va-medical-center-indianapolis-in.htm,Indianapolis Va Medical Center Ratings,1481 W. Tenth Street,Indianapolis,IN,46202.0,(317) 554-0000,Acute Care - Veterans Administration,YES,37% better,37.0,better,10.6,,7.3,13.1,,,,VERY GOOD,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Marion-County-IN.htm,2025-10-18T17:38:55.767022+00:00,wait time rating not available,10,37% better (±2),21,19,"no data for specific chief complaint, quality point remains at 21",20,19,,,"1481 W. Tenth Street, Indianapolis, IN 46202"
IN,Montgomery,Franciscan Health Crawfordsville,Crawfordsville,1h 42m,102.0,https://www.hospitalstats.org/hospital-ratings/franciscan-health-crawfordsville-crawfordsville-in.htm,Franciscan Health Crawfordsville Ratings,1710 Lafayette Rd,Crawfordsville,IN,47933.0,(765) 362-2800,Acute Care Hospitals,YES,16% better,16.0,better,,12.8,10.9,14.2,2.0,0.0,102.0,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Montgomery-County-IN.htm,2025-10-18T17:39:06.475643+00:00,10,7,16% better (±1),18,"no data for specific chief complaint, quality point remains at 18",16,16,16,,,"1710 Lafayette Road, Crawfordsville, IN 47933"
IN,Porter,Northwest Health - Porter,Valparaiso,2h 48m,168.0,https://www.hospitalstats.org/hospital-ratings/northwest-health--porter-valparaiso-in.htm,Northwest Health - Porter Ratings,85 East Us Hwy 6,Valparaiso,IN,46383.0,(219) 983-8300,Acute Care Hospitals,YES,9% worse,9.0,worse,13.9,14.1,11.6,22.5,13.0,2.0,168.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Porter-County-IN.htm,2025-10-18T17:39:15.291676+00:00,9,7,9% worse (±0),16,14,14,14,12,,,"85 East Us Highway 6, Valparaiso, IN 46383"
IN,Vigo,Terre Haute Regional Hospital,Terre Haute,2h 44m,164.0,https://www.hospitalstats.org/hospital-ratings/terre-haute-regional-hospital-terre-haute-in.htm,Terre Haute Regional Hospital Ratings,3901 S Seventh St,Terre Haute,IN,47802.0,(812) 232-0021,Acute Care Hospitals,YES,2% worse,2.0,worse,11.6,13.8,12.5,19.6,0.0,0.0,164.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Vigo-County-IN.htm,2025-10-18T17:39:47.666098+00:00,9,7,2% worse (±0),16,14,14,14,13,,,"3901 S Seventh Street, Terre Haute, IN 47802"
IN,Vigo,Union Hospital Inc,Terre Haute,3h 13m,193.0,https://www.hospitalstats.org/hospital-ratings/union-hospital-inc-terre-haute-in.htm,Union Hospital Inc Ratings,1606 N Seventh St,Terre Haute,IN,47804.0,(812) 238-7606,Acute Care Hospitals,YES,2% worse,2.0,worse,13.1,14.7,12.7,17.3,22.0,8.0,193.0,AVERAGE,Nurses usually take time to communicate well; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Vigo-County-IN.htm,2025-10-18T17:39:47.666098+00:00,8,7,2% worse (±0),15,13,13,13,12,,,"1606 N Seventh Street, Terre Haute, IN 47804"
IN,White,Indiana University Health White Memorial Hospital,Monticello,1h 40m,100.0,https://www.hospitalstats.org/hospital-ratings/indiana-university-health-white-memorial-hospital-monticello-in.htm,Indiana University Health White Memorial Hospital Ratings,720 South Sixth St,Monticello,IN,47960.0,(574) 583-7111,Critical Access Hospitals,YES,12% better,12.0,better,,12.5,10.8,15.8,1.0,0.0,100.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/White-County-IN.htm,2025-10-18T17:40:03.110229+00:00,10,5,12% better (±1),16,"no data for specific chief complaint, quality point remains at 16",14,14,13,,,"720 South Sixth Street, Monticello, IN 47960"
KS,Atchison,Amberwell Atchison Association,Atchison,1h 30m,90.0,https://www.hospitalstats.org/hospital-ratings/amberwell-atchison-association-atchison-ks.htm,Amberwell Atchison Association Ratings,800 Raven Hill Drive,Atchison,KS,66002.0,(913) 360-5581,Critical Access Hospitals,YES,4% better,4.0,better,,,11.5,17.4,2.0,0.0,90.0,VERY GOOD,,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Atchison-County-KS.htm,2025-10-18T17:40:10.902169+00:00,10,10,4% better (±0),20,"no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20",18,17,,,"800 Raven Hill Drive, Atchison, KS 66002"
KS,Butler,Susan B Allen Memorial Hospital,El Dorado,2h 8m,128.0,https://www.hospitalstats.org/hospital-ratings/susan-b-allen-memorial-hospital-el-dorado-ks.htm,Susan B Allen Memorial Hospital Ratings,720 W Central St,El Dorado,KS,67042.0,(316) 321-3300,Acute Care Hospitals,YES,16% worse,16.0,worse,,,13.7,22.0,2.0,0.0,128.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Butler-County-KS.htm,2025-10-18T17:40:23.655394+00:00,10,7,16% worse (±1),16,"no data for specific chief complaint, quality point remains at 16","no data for specific chief complaint, quality point remains at 16",14,12,,,"720 W Central Street, El Dorado, KS 67042"
KS,Coffey,Coffey County Hospital,Burlington,1h 27m,87.0,https://www.hospitalstats.org/hospital-ratings/coffey-county-hospital-burlington-ks.htm,Coffey County Hospital Ratings,801 N Fourth Street,Burlington,KS,66839.0,(620) 364-2121,Critical Access Hospitals,YES,7% worse,7.0,worse,,,12.3,19.8,0.0,0.0,87.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Coffey-County-KS.htm,2025-10-18T17:40:34.375241+00:00,10,5,7% worse (±0),15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",13,12,,,"801 N Fourth Street, Burlington, KS 66839"
KS,Comanche,Comanche County Hospital,Coldwater,1h 12m,72.0,https://www.hospitalstats.org/hospital-ratings/comanche-county-hospital-coldwater-ks.htm,Comanche County Hospital Ratings,202 S Frisco Street,Coldwater,KS,67029.0,(620) 582-2144,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,72.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Comanche-County-KS.htm,2025-10-18T17:40:36.353461+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"202 S Frisco Street, Coldwater, KS 67029"
KS,Cowley,William Newton Hospital,Winfield,2h 2m,122.0,https://www.hospitalstats.org/hospital-ratings/william-newton-hospital-winfield-ks.htm,William Newton Hospital Ratings,1300 East Fifth Avenue,Winfield,KS,67156.0,(620) 221-2300,Critical Access Hospitals,YES,25% worse,25.0,worse,,,14.1,25.7,1.0,0.0,122.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Cowley-County-KS.htm,2025-10-18T17:40:39.225862+00:00,10,10,25% worse (±1),19,"no data for specific chief complaint, quality point remains at 19","no data for specific chief complaint, quality point remains at 19",17,14,,,"1300 East Fifth Avenue, Winfield, KS 67156"
