Hospital_Name,Address,City,State,ZIP,Top_Procedures
St Luke's Magic Valley Rmc,ID,Twin Falls,801 Pole Line Road West,83301,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Joseph Regional Medical Center,ID,Lewiston,415 Sixth Street,83501,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Luke's Regional Medical Center,ID,Boise,190 East Bannock Street,83712,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Saint Alphonsus Regional Medical Center,ID,Boise,1055 North Curtis Road,83706,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Alphonsus Medical Center - Nampa,ID,Nampa,4300 E Flamingo Ave,83687,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
West Valley Medical Center,ID,Caldwell,1717 Arlington Street,83605,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Eastern Idaho Regional Medical Center,ID,Idaho Falls,3100 Channing Way,83404,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Madison Memorial Hospital,ID,Rexburg,450 East Main Street,83440,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Portneuf Medical Center,ID,Pocatello,777 Hospital Way,83201,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Kootenai Health,ID,Coeur D'alene,2003 Kootenai Health Way,83814,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Treasure Valley Hospital,ID,Boise,8800 West Emerald Street,83704,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Level 1 Breast/Lymphatic Surgery and Related Procedures
Mountain View Hospital,ID,Idaho Falls,2325 Coronado Street,83404,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Implantation of Drug Infusion Device
Northwest Specialty Hospital,ID,Post Falls,1593 East Polston Avenue,83854,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Luke's Nampa Medical Center,ID,Nampa,9850 West St Lukes Drive,83687,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
"Idaho Falls Community Hospital, Llc",ID,Idaho Falls,2327 Coronado St,83404,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Graham Hospital Association,IL,Canton,210 West Walnut Street,61520,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Alton Memorial Hospital,IL,Alton,One Memorial Drive,62002,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Presence Saint Joseph Medical Center,IL,Joliet,333 N Madison St,60435,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Loyola Gottlieb Memorial Hospital,IL,Melrose Park,701 West North Ave,60160,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Northshore University Healthsystem Evanston Hosp,IL,Evanston,2650 Ridge Ave,60201,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
Herrin Hospital,IL,Herrin,201 S 14th St,62948,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Katherine Shaw Bethea Hospital,IL,Dixon,403 E 1st St,61021,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Carle Health Proctor Hospital,IL,Peoria,5409 N Knoxville Ave,61614,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Blessing Hospital,IL,Quincy,1005 Broadway St,62301,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Mt Sinai Hospital Medical Center,IL,Chicago,1500 S Fairfield Ave,60608,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Hshs Good Shepherd Hospital Inc,IL,Shelbyville,200 S Cedar St,62565,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 1 Nerve Procedures
Rush Copley Medical Center,IL,Aurora,2000 Ogden Avenue,60504,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Advocate Sherman Hospital,IL,Elgin,1425 North Randall Road,60123,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Anthonys Memorial Hospital,IL,Effingham,503 N Maple Street,62401,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Ssm Health St Mary's Hospital -Centralia,IL,Centralia,400 North Pleasant Avenue,62801,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Cgh Medical Center,IL,Sterling,100 East Lefevre Road,61081,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Good Samaritan Regional Hlth Center,IL,Mount Vernon,1 Good Samaritan Way,62864,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Advocate Trinity Hospital,IL,Chicago,2320 E 93rd St,60617,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
West Suburban Medical Center,IL,Oak Park,3 Erie Court,60302,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Osf Saint Anthony's Health Center,IL,Alton,St Anthony's Way,62002,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Johns Hospital,IL,Springfield,800 E Carpenter St,62769,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Macneal  Hospital,IL,Berwyn,3249 South Oak Park Avenue,60402,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Jersey Community Hospital,IL,Jerseyville,400 Maple Summit Road,62052,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Palos Community Hospital,IL,Palos Heights,12251 South 80th Avenue,60463,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Rush Oak Park Hospital,IL,Oak Park,520 S Maple Ave,60304,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Mary Medical Center,IL,Galesburg,3333 North Seminary,61401,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Uchicago Medicine Adventhealth La Grange,IL,La Grange,5101 S Willow Springs Rd,60525,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Francis Medical Center,IL,Peoria,530 Ne Glen Oak Ave,61637,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
Roseland Community Hospital,IL,Chicago,45 W 111th Street,60628,Comprehensive Observation Services
Touchette Regional Hospital Inc,IL,Centreville,5900 Bond Avenue,62207,Complex GI Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Presence Saint Francis Hospital,IL,Evanston,355 Ridge Ave,60202,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Louis A Weiss Memorial Hospital,IL,Chicago,4646 N Marine Drive,60640,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Loretto Hospital,IL,Chicago,645 South Central Ave,60644,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Vista Medical Center East,IL,Waukegan,1324 North Sheridan Road,60085,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
The University Of Chicago Medical Center,IL,Chicago,5841 South Maryland,60637,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Mc Donough District Hospital,IL,Macomb,525 East Grant Street,61455,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
The Carle Foundation Hospital,IL,Urbana,611 West Park Street,61801,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Osf Sacred Heart Medical Center,IL,Danville,812 N Logan Ave,61832,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Anthony Hospital,IL,Chicago,2875 West 19th Street,60623,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
"Midwestern Region Med Center, Inc",IL,Zion,2520 Elisha Avenue,60099,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Morris Hospital & Healthcare Centers,IL,Morris,150 W High St,60450,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
St Bernard Hospital,IL,Chicago,326 W 64th St,60621,Comprehensive Observation Services | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Musculoskeletal Procedures
Osf Saint Elizabeth Medical Center,IL,Ottawa,1100 E Norris Drive,61350,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Osf Heart Of Mary Medical Center,IL,Urbana,1400 West Park Avenue,61801,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Swedish Hospital,IL,Chicago,5145 N California Ave,60625,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Thorek Memorial Hospital,IL,Chicago,850 W Irving Park Rd,60613,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Northwestern Medicine Mchenry Hospital,IL,Mchenry,4201 Medical Center Drive,60050,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Presence Resurrection Medical Center,IL,Chicago,7435 W Talcott Avenue,60631,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Rush University Medical Center,IL,Chicago,1653 West Congress Parkway,60612,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Carle Health Pekin Hospital,IL,Pekin,600 South 13th Street,61554,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Uchicago Medicine Adventhealth Hinsdale,IL,Hinsdale,120 North Oak St,60521,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
John H Stroger Jr Hospital,IL,Chicago,1901 W Harrison St,60612,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Gateway Regional Medical Center,IL,Granite City,2100 Madison Avenue,62040,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Carle Bromenn Medical Center,IL,Normal,1304 Franklin Avenue,61761,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Northwestern Lake Forest Hospital,IL,Lake Forest,1000 N Westmoreland Road,60045,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Holy Cross Hospital,IL,Chicago,2701 W 68th Street,60629,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
Decatur Memorial Hospital,IL,Decatur,2300 North Edward Street,62526,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Hshs Holy Family Hospital,IL,Greenville,200 Health Care Dr,62246,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Margaret's Health Spring Valley,IL,Spring Valley,600 E 1st St,61362,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Josephs Hospital,IL,Breese,9515 Holy Cross Ln,62230,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Carle Richland Memorial Hospital,IL,Olney,501 S West St,62450,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Memorial Medical Center,IL,Springfield,701 N First St,62702,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
University Of Illinois Hospital And Clinics,IL,Chicago,1740 West Taylor St Suite 1400,60612,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Presence St Marys Hospital,IL,Kankakee,500 W Court St,60901,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Insight Hospital And Medical Center Chicago,IL,Chicago,2525 S Michigan Ave,60616,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Fhn Memorial Hospital,IL,Freeport,1045 West Stephenson Street,61032,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint James Hospital,IL,Pontiac,2500 West Reynolds Street,61764,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Joseph Medical Center,IL,Bloomington,2200 E Washington,61701,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Memorial Hospital Of Carbondale,IL,Carbondale,405 W Jackson,62901,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Marys Hospital,IL,Decatur,1800 E Lake Shore Dr,62521,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Iroquois Memorial Hospital,IL,Watseka,200 Fairman Street,60970,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Franciscan Health Olympia & Chicago Heights,IL,Olympia Fields,20201 S Crawford Avenue,60461,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Presence Mercy Medical Center,IL,Aurora,1325 N Highland Avenue,60506,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
Jackson Park Hospital,IL,Chicago,7531 S Stony Island Ave,60649,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage
Osf Little Company Of Mary Medical Center,IL,Evergreen Park,2800 W 95th St,60805,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Presence Saints Mary And Elizabeth Medical Center,IL,Chicago,2233 W Division St,60622,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
South Shore Hospital,IL,Chicago,8012 South Crandon Avenue,60617,Comprehensive Observation Services | Level 3 Musculoskeletal Procedures
Advocate Illinois Masonic Medical Center,IL,Chicago,836 West Wellington Avenue,60657,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Heartland Regional Medical Center,IL,Marion,3333 W Deyoung,62959,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Memorial Hospital,IL,Belleville,4500 Memorial Drive,62226,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Riverside Medical Center,IL,Kankakee,350 N Wall St,60901,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Hshs St Elizabeth's Hospital,IL,O Fallon,One St Elizabeth Boulevard,62269,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Sarah Bush Lincoln Health Center,IL,Mattoon,1000 Health Center Drive P O Box 372,61938,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Ingalls Memorial Hospital,IL,Harvey,1 Ingalls Drive,60426,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Methodist Hospital Of Chicago,IL,Chicago,5025 N Paulina Street,60640,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 2 Upper GI Procedures
Elmhurst Memorial Hospital,IL,Elmhurst,155 East Brush Hill Road,60126,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Advocate Condell Medical Center,IL,Libertyville,801 S Milwaukee Ave,60048,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Humboldt Park Health,IL,Chicago,1044 N Francisco Ave,60622,Complex GI Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Advocate Christ Hospital & Medical Center,IL,Oak Lawn,4440 W 95th Street,60453,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
Carle Health Methodist Hospital,IL,Peoria,221 N E Glen Oak Ave,61636,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Harrisburg Medical Center,IL,Harrisburg,100 Doctor Warren Tuttle Dr,62946,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Northwestern Medicine Delnor Community Hospital,IL,Geneva,300 Randall Rd,60134,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Silver Cross Hospital  And Medical Centers,IL,New Lenox,1900 Silver Cross Blvd,60451,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Presence Saint Joseph Hospital - Elgin,IL,Elgin,77 N Airlite Street,60123,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
Advocate Lutheran General Hospital,IL,Park Ridge,1775 Dempster St,60068,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Presence Saint Joseph Hospital - Chicago,IL,Chicago,2900 North Lake Shore Drive,60657,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Swedish American Hospital,IL,Rockford,1401 East State Street,61104,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Edward Hospital,IL,Naperville,801 South Washington,60540,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Saint Anthony Medical Center,IL,Rockford,5666 East State Street,61108,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Margaret's Health - Peru,IL,Peru,925 West St,61354,Abdominal/Peritoneal/Biliary and Related Procedures | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Intraocular Procedures
Mercyhealth Hospital Rockton Avenue,IL,Rockford,2400 North Rockton Avenue,61103,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northwestern Medicine Central Dupage Hospital,IL,Winfield,25 North Winfield Road,60190,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Community First Medical Center,IL,Chicago,5645 W Addison Street,60634,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northwest Community Hospital 1,IL,Arlington Heights,800 W Central Road,60005,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Alexian Brothers Medical Center 1,IL,Elk Grove Village,800 Biesterfield Rd,60007,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Genesis Health System,IL,Silvis,801 Illini Dr,61282,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Loyola University Medical Center,IL,Maywood,2160 S 1st Avenue,60153,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Trinity Rock Island,IL,Rock Island,2701 17th St,61201,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northwestern Memorial Hospital,IL,Chicago,251 E Huron St,60611,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Northwestern Medicine Kishwaukee Hospital,IL,Dekalb,One Kish Hospital Drive,60115,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Advocate Good Samaritan Hospital,IL,Downers Grove,3815 Highland Avenue,60515,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Anderson Hospital,IL,Maryville,6800 State Route 162,62062,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Alexius Medical Center,IL,Hoffman Estates,1555 N Barrington Rd,60169,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Advocate Good Shepherd Hospital,IL,Barrington,450 West Highway 22,60010,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Uchicago Medicine Adventhealth Glenoaks,IL,Glendale Heights,701 Winthrop Avenue,60139,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
Crossroads Community Hospital,IL,Mount Vernon,8 Doctors Park Rd,62864,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Provident Hospital Of Chicago,IL,Chicago,500 E 51st St,60615,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Uchicago Medicine Adventhealth Bolingbrook,IL,Bolingbrook,500 Remington Boulevard,60440,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Mercyhealth Hospital & Physician Clinic-Crystal La,IL,Crystal Lake,875 S Route 31,60014,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
Presence Holy Family Medical Center,IL,Des Plaines,100 North River Road,60016,Level 1 Intraocular Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Intraocular Procedures
Shirley Ryan Abilitylab,IL,Chicago,355 E Erie St,60611,Level 1 Nerve Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Neurostimulator and Related Procedures
Ann & Robert H Lurie Childrens Hospital Of Chicago,IL,Chicago,"225 E Chicago Ave, Box 140",60611,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage
Johnson Memorial Hospital,IN,Franklin,1125 W Jefferson St,46131,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Methodist Hospitals Inc,IN,Gary,600 Grant St,46402,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Hendricks Regional Health,IN,Danville,1000 E Main St,46122,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Northwest Health-La Porte,IN,La Porte,1331 State Street,46350,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Community Howard Regional Health Inc,IN,Kokomo,3500 S Lafountain St,46902,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Catherine Hospital Inc,IN,East Chicago,4321 Fir Street,46312,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
"Norton Clark Hospital, Llc",IN,Jeffersonville,1220 Missouri Ave,47130,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Ascension St Vincent Kokomo,IN,Kokomo,1907 W Sycamore St,46904,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Marion General Hospital,IN,Marion,441 N Wabash Ave,46952,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Saint Joseph Regional Medical Center,IN,Mishawaka,5215 Holy Cross Pkwy,46545,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Franciscan Health Michigan City,IN,Michigan City,3500 Franciscan Way,46360,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Lutheran Hospital Of Indiana,IN,Fort Wayne,7950 W Jefferson Blvd,46804,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Elkhart General Hospital,IN,Elkhart,600 E Blvd,46514,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Parkview Regional Medical Center,IN,Fort Wayne,11109 Parkview Plaza Drive,46845,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Franciscan Health Crawfordsville,IN,Crawfordsville,1710 Lafayette Rd,47933,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Union Hospital Inc,IN,Terre Haute,1606 N Seventh St,47804,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Eskenazi Health,IN,Indianapolis,720 Eskenazi Avenue,46202,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Goshen General Hospital,IN,Goshen,200 High Park Ave,46526,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Henry County Memorial Hospital,IN,New Castle,1000 N 16th St,47362,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
St Mary Medical Center Inc,IN,Hobart,1500 S Lake Park Ave,46342,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northwest  Health- Porter,IN,Valparaiso,85 East Us Hwy 6,46383,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Hancock Regional Hospital,IN,Greenfield,801 N State St,46140,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
