hospital_name,__key,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,State,County,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu
Palo Alto County Hospital,palo alto county hospital,https://www.hospitalstats.org/hospital-ratings/palo-alto-county-hospital-emmetsburg-ia.htm,Palo Alto County Hospital Ratings,3201 1st Street,Emmetsburg,IA,50536,(712) 852-5500,Critical Access Hospitals,YES,26% worse,26.0,worse,,,,24.7,0.0,0.0,106.0,POOR,Doctors usually communicate well with patients; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Palo Alto,wait time rating not available,5,26% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",0
Floyd Valley Healthcare,floyd valley healthcare,https://www.hospitalstats.org/hospital-ratings/floyd-valley-healthcare-le-mars-ia.htm,Floyd Valley Healthcare Ratings,714 Lincoln St Ne,Le Mars,IA,51031,(712) 546-7871,Critical Access Hospitals,YES,8% worse,8.0,worse,,,,19.7,0.0,0.0,123.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Plymouth,wait time rating not available,10,8% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Broadlawns Medical Center,broadlawns medical center,https://www.hospitalstats.org/hospital-ratings/broadlawns-medical-center-des-moines-ia.htm,Broadlawns Medical Center Ratings,1801 Hickman Road,Des Moines,IA,50314,(515) 282-2200,Acute Care Hospitals,YES,,,,,,,,1.0,1.0,189.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Polk,wait time rating not available,7,mortality not used,7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7"
Unitypoint Health - Des Moines Iowa Methodist Medi,unitypoint health - des moines iowa methodist medi,https://www.hospitalstats.org/hospital-ratings/unitypoint-health--des-moines-iowa-methodist-medi-des-moines-ia.htm,Unitypoint Health - Des Moines Iowa Methodist Medi Ratings,1200 Pleasant Street,Des Moines,IA,50309,(515) 241-6212,Acute Care Hospitals,YES,10% worse,10.0,worse,14.0,14.0,15.9,19.2,38.0,16.0,193.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Polk,wait time rating not available,7,10% worse (±1),6,4,4,3,3
Mercyone Des Moines Medical Center,mercyone des moines medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-des-moines-medical-center-des-moines-ia.htm,Mercyone Des Moines Medical Center Ratings,1111 6th Ave,Des Moines,IA,50314,(515) 247-3121,Acute Care Hospitals,YES,3% worse,3.0,worse,14.0,14.8,11.2,18.3,36.0,15.0,228.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Polk,wait time rating not available,7,3% worse (±0),7,5,5,5,4
Va Central Iowa Healthcare System,va central iowa healthcare system,https://www.hospitalstats.org/hospital-ratings/va-central-iowa-healthcare-system-des-moines-ia.htm,Va Central Iowa Healthcare System Ratings,3600 30th Street,Des Moines,IA,50310,(515) 699-5999,Acute Care - Veterans Administration,YES,6% better,6.0,better,,,13.3,15.1,,,0.0,VERY GOOD,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Polk,wait time rating not available,10,6% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Methodist Jennie Edmundson,methodist jennie edmundson,https://www.hospitalstats.org/hospital-ratings/methodist-jennie-edmundson-council-bluffs-ia.htm,Methodist Jennie Edmundson Ratings,933 East Pierce Street,Council Bluffs,IA,51503,(712) 396-6000,Acute Care Hospitals,YES,9% worse,9.0,worse,11.7,16.4,16.1,17.9,12.0,1.0,136.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Pottawattamie,wait time rating not available,10,9% worse (±0),10,8,7,7,7
Chi Health Mercy Council Bluffs,chi health mercy council bluffs,https://www.hospitalstats.org/hospital-ratings/chi-health-mercy-council-bluffs-council-bluffs-ia.htm,Chi Health Mercy Council Bluffs Ratings,800 Mercy Drive,Council Bluffs,IA,51503,(712) 328-5000,Acute Care Hospitals,YES,2% worse,2.0,worse,11.8,14.5,13.2,17.9,4.0,1.0,176.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Pottawattamie,wait time rating not available,7,2% worse (±0),7,5,5,5,4
Grinnell Regional Medical Center,grinnell regional medical center,https://www.hospitalstats.org/hospital-ratings/grinnell-regional-medical-center-grinnell-ia.htm,Grinnell Regional Medical Center Ratings,210 Fourth Avenue,Grinnell,IA,50112,(641) 236-7511,Acute Care Hospitals,YES,12% worse,12.0,worse,,14.3,13.0,22.7,1.0,0.0,130.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Poweshiek,wait time rating not available,10,12% worse (±1),9,"no data for specific chief complaint, quality point remains at 9",7,7,5
Ringgold County Hospital,ringgold county hospital,https://www.hospitalstats.org/hospital-ratings/ringgold-county-hospital-mount-ayr-ia.htm,Ringgold County Hospital Ratings,504 North Cleveland Street,Mount Ayr,IA,50854,(641) 464-3226,Critical Access Hospitals,YES,17% worse,17.0,worse,,,,21.9,0.0,0.0,116.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Ringgold,wait time rating not available,5,17% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",0
Trinity - Bettendorf,trinity - bettendorf,https://www.hospitalstats.org/hospital-ratings/trinity--bettendorf-bettendorf-ia.htm,Trinity - Bettendorf Ratings,4500 Utica Ridge Road,Bettendorf,IA,52722,(563) 742-5000,Acute Care Hospitals,YES,8% worse,8.0,worse,12.8,16.2,13.8,18.7,2.0,0.0,184.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Scott,wait time rating not available,7,8% worse (±0),7,5,4,5,4
Genesis Medical Center-Davenport,genesis medical center-davenport,https://www.hospitalstats.org/hospital-ratings/genesis-medical-center-davenport-davenport-ia.htm,Genesis Medical Center-Davenport Ratings,1227 East Rusholme Street,Davenport,IA,52803,(563) 421-1000,Acute Care Hospitals,YES,3% worse,3.0,worse,12.4,15.3,12.2,18.2,8.0,3.0,196.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Scott,wait time rating not available,7,3% worse (±0),7,5,4,5,4
Myrtue Medical Center,myrtue medical center,https://www.hospitalstats.org/hospital-ratings/myrtue-medical-center-harlan-ia.htm,Myrtue Medical Center Ratings,1213 Garfield Avenue,Harlan,IA,51537,(712) 755-5161,Critical Access Hospitals,YES,3% worse,3.0,worse,,,11.4,19.6,0.0,0.0,74.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it,,IA,Shelby,wait time rating not available,10,3% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Hegg Memorial Health Center,hegg memorial health center,https://www.hospitalstats.org/hospital-ratings/hegg-memorial-health-center-rock-valley-ia.htm,Hegg Memorial Health Center Ratings,1202 21st Avenue,Rock Valley,IA,51247,(712) 476-8000,Critical Access Hospitals,YES,10% better,10.0,better,,,,16.5,0.0,0.0,99.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Sioux,wait time rating not available,5,10% better (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",3
Sioux Center Health,sioux center health,https://www.hospitalstats.org/hospital-ratings/sioux-center-health-sioux-center-ia.htm,Sioux Center Health Ratings,1101 9th Street Se,Sioux Center,IA,51250,(712) 722-1271,Critical Access Hospitals,YES,9% worse,9.0,worse,,,,19.9,2.0,0.0,116.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Sioux,wait time rating not available,10,9% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Hawarden Regional Healthcare,hawarden regional healthcare,https://www.hospitalstats.org/hospital-ratings/hawarden-regional-healthcare-hawarden-ia.htm,Hawarden Regional Healthcare Ratings,1111 11th Street,Hawarden,IA,51023,(712) 551-3100,Critical Access Hospitals,YES,7% worse,7.0,worse,,,,19.5,0.0,0.0,160.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Sioux,wait time rating not available,5,7% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Orange City Area Health System,orange city area health system,https://www.hospitalstats.org/hospital-ratings/orange-city-area-health-system-orange-city-ia.htm,Orange City Area Health System Ratings,1000 Lincoln Circle Se,Orange City,IA,51041,(712) 737-4984,Critical Access Hospitals,YES,14% worse,14.0,worse,,,14.8,20.0,0.0,0.0,0.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Sioux,wait time rating not available,10,14% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",7,6
Story County Hospital,story county hospital,https://www.hospitalstats.org/hospital-ratings/story-county-hospital-nevada-ia.htm,Story County Hospital Ratings,640 South 19th Street,Nevada,IA,50201,(515) 382-2111,Critical Access Hospitals,YES,,,,,,,,3.0,0.0,94.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Story,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Mary Greeley Medical Center,mary greeley medical center,https://www.hospitalstats.org/hospital-ratings/mary-greeley-medical-center-ames-ia.htm,Mary Greeley Medical Center Ratings,1111 Duff Avenue,Ames,IA,50010,(515) 239-2011,Acute Care Hospitals,YES,3% worse,3.0,worse,12.6,13.6,14.3,17.7,12.0,1.0,142.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Story,wait time rating not available,10,3% worse (±0),10,8,8,8,7
Greater Regional Medical Center,greater regional medical center,https://www.hospitalstats.org/hospital-ratings/greater-regional-medical-center-creston-ia.htm,Greater Regional Medical Center Ratings,1700 West Townline Street,Creston,IA,50801,(641) 782-7091,Critical Access Hospitals,YES,4% better,4.0,better,,13.6,10.3,18.3,1.0,0.0,86.0,VERY GOOD,Nurses usually take time to communicate well; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Union,wait time rating not available,10,4% better (±0),10,"no data for specific chief complaint, quality point remains at 10",8,8,7
Van Buren County Hospital,van buren county hospital,https://www.hospitalstats.org/hospital-ratings/van-buren-county-hospital-keosauqua-ia.htm,Van Buren County Hospital Ratings,304 Franklin Street,Keosauqua,IA,52565,(319) 293-3171,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,135.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Van Buren,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Ottumwa Regional Health Center,ottumwa regional health center,https://www.hospitalstats.org/hospital-ratings/ottumwa-regional-health-center-ottumwa-ia.htm,Ottumwa Regional Health Center Ratings,1001 E Pennsylvania,Ottumwa,IA,52501,(641) 682-7511,Acute Care Hospitals,YES,4% worse,4.0,worse,12.2,14.3,11.4,21.0,1.0,0.0,170.0,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Wapello,wait time rating not available,6,4% worse (±0),6,4,4,4,2
Trinity Regional Medical Center,trinity regional medical center,https://www.hospitalstats.org/hospital-ratings/trinity-regional-medical-center-fort-dodge-ia.htm,Trinity Regional Medical Center Ratings,802 Kenyon Rd,Fort Dodge,IA,50501,(515) 573-3101,Acute Care Hospitals,YES,8% worse,8.0,worse,13.1,14.2,16.9,17.5,5.0,1.0,180.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Webster,wait time rating not available,7,8% worse (±0),7,5,5,4,4
Winnmed,winnmed,https://www.hospitalstats.org/hospital-ratings/winnmed-decorah-ia.htm,Winnmed Ratings,901 Montgomery Street,Decorah,IA,52101,(563) 382-2911,Critical Access Hospitals,YES,9% better,9.0,better,,,11.2,16.4,1.0,0.0,134.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,IA,Winneshiek,wait time rating not available,10,9% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
St Lukes Regional Medical Center,st lukes regional medical center,https://www.hospitalstats.org/hospital-ratings/st-lukes-regional-medical-center-sioux-city-ia.htm,St Lukes Regional Medical Center Ratings,2720 Stone Park Boulevard,Sioux City,IA,51104,(712) 279-3500,Acute Care Hospitals,YES,14% worse,14.0,worse,12.5,17.4,16.5,19.2,15.0,3.0,179.0,AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Woodbury,wait time rating not available,7,14% worse (±1),6,4,3,3,3
Mercyone Siouxland Medical Center,mercyone siouxland medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-siouxland-medical-center-sioux-city-ia.htm,Mercyone Siouxland Medical Center Ratings,801 5th St,Sioux City,IA,51101,(712) 279-2010,Acute Care Hospitals,YES,13% worse,13.0,worse,16.8,15.6,13.1,19.5,12.0,3.0,196.0,AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Woodbury,wait time rating not available,7,13% worse (±1),6,3,3,4,3
Iowa Specialty Hospital - Belmond,iowa specialty hospital - belmond,https://www.hospitalstats.org/hospital-ratings/iowa-specialty-hospital--belmond-belmond-ia.htm,Iowa Specialty Hospital - Belmond Ratings,403 First Street Se,Belmond,IA,50421,(641) 444-3223,Critical Access Hospitals,YES,2% worse,2.0,worse,,,,18.5,0.0,0.0,86.0,VERY GOOD,,,IA,Wright,wait time rating not available,10,2% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Iowa Specialty Hospital - Clarion,iowa specialty hospital - clarion,https://www.hospitalstats.org/hospital-ratings/iowa-specialty-hospital--clarion-clarion-ia.htm,Iowa Specialty Hospital - Clarion Ratings,1316 South Main Street,Clarion,IA,50525,(515) 532-2811,Critical Access Hospitals,YES,1% worse,1.0,worse,,,,18.3,1.0,0.0,96.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Wright,wait time rating not available,10,1% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Blessing Hospital,blessing hospital,https://www.hospitalstats.org/hospital-ratings/blessing-hospital-quincy-il.htm,Blessing Hospital Ratings,1005 Broadway St,Quincy,IL,62301,(217) 223-1200,Acute Care Hospitals,YES,1% better,1.0,better,12.2,13.1,11.3,19.2,24.0,3.0,184.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Adams,wait time rating not available,7,1% better (±0),7,5,5,5,4
Hshs Holy Family Hospital Inc,hshs holy family hospital inc,https://www.hospitalstats.org/hospital-ratings/hshs-holy-family-hospital-inc-greenville-il.htm,Hshs Holy Family Hospital Inc Ratings,200 Health Care Dr,Greenville,IL,62246,(618) 664-1230,Acute Care Hospitals,YES,4% worse,4.0,worse,,,13.3,17.8,0.0,0.0,127.0,POOR,Nurses usually take time to communicate well; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IL,Bond,wait time rating not available,5,4% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",3,2
Osf Saint Clare Medical Center,osf saint clare medical center,https://www.hospitalstats.org/hospital-ratings/osf-saint-clare-medical-center-princeton-il.htm,Osf Saint Clare Medical Center Ratings,530 Park Avenue East,Princeton,IL,61356,(815) 875-2811,Critical Access Hospitals,YES,8% better,8.0,better,,,,16.9,1.0,0.0,119.0,POOR,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Bureau,wait time rating not available,5,8% better (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
St Margaret's Health Spring Valley,st margarets health spring valley,https://www.hospitalstats.org/hospital-ratings/st-margarets-health-spring-valley-spring-valley-il.htm,St Margaret's Health Spring Valley Ratings,600 E 1st St,Spring Valley,IL,61362,(815) 664-5311,Acute Care Hospitals,YES,10% better,10.0,better,,,9.8,17.5,4.0,0.0,125.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Bureau,wait time rating not available,7,10% better (±1),8,"no data for specific chief complaint, quality point remains at 8","no data for specific chief complaint, quality point remains at 8",7,5
Osf Heart Of Mary Medical Center,osf heart of mary medical center,https://www.hospitalstats.org/hospital-ratings/osf-heart-of-mary-medical-center-urbana-il.htm,Osf Heart Of Mary Medical Center Ratings,1400 West Park Avenue,Urbana,IL,61801,(217) 337-2000,Acute Care Hospitals,YES,1% worse,1.0,worse,13.4,11.9,12.9,19.0,9.0,1.0,134.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Champaign,wait time rating not available,7,1% worse (±0),7,5,5,5,4
Carle Foundation Hospital,carle foundation hospital,https://www.hospitalstats.org/hospital-ratings/carle-foundation-hospital-urbana-il.htm,Carle Foundation Hospital Ratings,611 West Park Street,Urbana,IL,61801,(888) 712-2753,Acute Care Hospitals,YES,3% worse,3.0,worse,12.3,16.8,11.1,18.0,11.0,7.0,182.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Champaign,wait time rating not available,7,3% worse (±0),7,5,4,5,4
Pana Community Hospital,pana community hospital,https://www.hospitalstats.org/hospital-ratings/pana-community-hospital-pana-il.htm,Pana Community Hospital Ratings,101 E Ninth Street,Pana,IL,62557,(217) 562-2131,Critical Access Hospitals,YES,1% worse,1.0,worse,,,,18.4,1.0,0.0,130.0,POOR,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it,,IL,Christian,wait time rating not available,5,1% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Taylorville Memorial Hospital,taylorville memorial hospital,https://www.hospitalstats.org/hospital-ratings/taylorville-memorial-hospital-taylorville-il.htm,Taylorville Memorial Hospital Ratings,201 East Pleasant Street,Taylorville,IL,62568,(217) 824-3331,Critical Access Hospitals,YES,10% worse,10.0,worse,,,12.9,20.6,1.0,0.0,134.0,POOR,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it,,IL,Christian,wait time rating not available,5,10% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",2,0
Clay County Hospital,clay county hospital,https://www.hospitalstats.org/hospital-ratings/clay-county-hospital-flora-il.htm,Clay County Hospital Ratings,911 Stacy Burk Dr,Flora,IL,62839,(618) 662-2131,Critical Access Hospitals,YES,1% worse,1.0,worse,,,,18.3,2.0,0.0,99.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Clay,wait time rating not available,10,1% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
St Josephs Hospital,st josephs hospital,https://www.hospitalstats.org/hospital-ratings/st-josephs-hospital-breese-il.htm,St Josephs Hospital Ratings,9515 Holy Cross Ln,Breese,IL,62230,(618) 526-4511,Acute Care Hospitals,YES,6% better,6.0,better,,,14.2,14.0,2.0,0.0,138.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IL,Clinton,wait time rating not available,10,6% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,8
Sarah Bush Lincoln Health Center,sarah bush lincoln health center,https://www.hospitalstats.org/hospital-ratings/sarah-bush-lincoln-health-center-mattoon-il.htm,Sarah Bush Lincoln Health Center Ratings,1000 Health Center Drive P O Box 372,Mattoon,IL,61938,(217) 258-2513,Acute Care Hospitals,YES,9% worse,9.0,worse,13.8,15.2,14.8,18.4,5.0,3.0,195.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Coles,wait time rating not available,7,9% worse (±0),7,5,4,5,4
Presence Saint Joseph Hospital - Chicago,presence saint joseph hospital - chicago,https://www.hospitalstats.org/hospital-ratings/presence-saint-joseph-hospital--chicago-chicago-il.htm,Presence Saint Joseph Hospital - Chicago Ratings,2900 North Lake Shore Drive,Chicago,IL,60657,(773) 665-3000,Acute Care Hospitals,YES,8% better,8.0,better,11.9,13.1,9.9,17.2,5.0,1.0,147.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,IL,Cook,wait time rating not available,7,8% better (±0),7,5,5,6,4
Ingalls Memorial Hospital,ingalls memorial hospital,https://www.hospitalstats.org/hospital-ratings/ingalls-memorial-hospital-harvey-il.htm,Ingalls Memorial Hospital Ratings,1 Ingalls Drive,Harvey,IL,60426,(708) 333-2300,Acute Care Hospitals,YES,5% better,5.0,better,13.3,12.7,10.3,17.6,3.0,0.0,173.0,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IL,Cook,wait time rating not available,6,5% better (±0),6,4,4,4,3
Loretto Hospital,loretto hospital,https://www.hospitalstats.org/hospital-ratings/loretto-hospital-chicago-il.htm,Loretto Hospital Ratings,645 South Central Ave,Chicago,IL,60644,(773) 626-4300,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,174.0,POOR,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Rooms were often noisy at night,IL,Cook,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Thorek Memorial Hospital,thorek memorial hospital,https://www.hospitalstats.org/hospital-ratings/thorek-memorial-hospital-chicago-il.htm,Thorek Memorial Hospital Ratings,850 W Irving Park Rd,Chicago,IL,60613,(773) 525-6780,Acute Care Hospitals,YES,18% better,18.0,better,,,,15.4,2.0,0.0,174.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IL,Cook,wait time rating not available,7,18% better (±1),8,"no data for specific chief complaint, quality point remains at 8","no data for specific chief complaint, quality point remains at 8","no data for specific chief complaint, quality point remains at 8",5
Presence Saint Francis Hospital,presence saint francis hospital,https://www.hospitalstats.org/hospital-ratings/presence-saint-francis-hospital-evanston-il.htm,Presence Saint Francis Hospital Ratings,355 Ridge Ave,Evanston,IL,60202,(847) 316-4000,Acute Care Hospitals,YES,3% worse,3.0,worse,13.7,13.8,12.3,18.6,7.0,0.0,175.0,AVERAGE,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,IL,Cook,wait time rating not available,7,3% worse (±0),7,5,5,5,4
Insight Hospital And Medical Center Chicago,insight hospital and medical center chicago,https://www.hospitalstats.org/hospital-ratings/insight-hospital-and-medical-center-chicago-chicago-il.htm,Insight Hospital And Medical Center Chicago Ratings,2525 S Michigan Ave,Chicago,IL,60616,(312) 567-2000,Acute Care Hospitals,YES,6% better,6.0,better,,13.2,10.9,17.4,0.0,0.0,182.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IL,Cook,wait time rating not available,7,6% better (±0),7,"no data for specific chief complaint, quality point remains at 7",5,5,4
Holy Cross Hospital,holy cross hospital,https://www.hospitalstats.org/hospital-ratings/holy-cross-hospital-chicago-il.htm,Holy Cross Hospital Ratings,2701 W 68th Street,Chicago,IL,60629,(773) 884-9000,Acute Care Hospitals,YES,4% better,4.0,better,,13.9,9.8,18.5,6.0,1.0,182.0,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night,IL,Cook,wait time rating not available,6,4% better (±0),6,"no data for specific chief complaint, quality point remains at 6",4,5,3
